name=BMI160 Accelerometer vendor=BOSCH current_time_ms=1561441268478
measured_at recorded_at accuracy value_x value_y value_z
276975852047575 276975976677386 0 -0.1623715 2.2104805 9.892324
276975862154241 276975976774417 0 0.11536195 2.1292174 10.105021
276975872260908 276975976835355 0 0.36915326 2.0097132 10.261
276975882367575 276975976890668 0 0.5415409 1.9523506 10.322447
276975892474241 276975976943949 0 0.5702752 1.7946056 10.350806
276975902580908 276975977006709 0 0.54154813 1.6846617 10.450067
276975912687575 276975977067178 0 0.4936673 1.6559796 10.591865
276975922794241 276975977126293 0 0.40269035 1.6989995 10.695851
276975932900908 276975977195407 0 0.3500211 1.813721 10.587141
276975943007575 276975977269209 0 0.37396684 1.8758613 10.279916
276975953114241 276975977335720 0 0.3883358 1.9236611 9.840345
276975963220908 276975977401970 0 0.31172425 2.0001416 9.3487835
276975973327575 276975977466865 0 0.15849757 2.105303 8.989566
276975983434241 276976001339732 0 0.057943724 2.277386 8.809958
276975993540908 276976001414889 0 -0.023456197 2.3777673 8.7107
276976003647575 276976012334421 0 -0.033029526 2.2009015 8.540545
276976013754241 276976017126140 0 -0.10964105 2.0766175 8.356211
276976023860908 276976069576770 0 -0.23892555 2.0479352 8.403478
276976033967575 276976069630677 0 -0.21976817 2.086175 8.601995
276976044074241 276976069678281 0 -0.20539922 2.0861738 8.786332
276976054180908 276976069725521 0 -0.20060718 2.0383713 9.041569
276976064287575 276976069771458 0 -0.10962306 2.0049095 9.296805
276976074394241 276976113816202 0 -0.018638972 1.9857876 9.481144
276976084500908 276976113878546 0 0.19205622 1.8567232 9.471691
276976094607575 276976113929223 0 0.28782877 1.6941981 9.391341
276976104714241 276976113974900 0 0.33092842 1.6320555 9.2070055
276976114820908 276976178456417 0 0.31656662 1.6081535 9.022671
276976124927575 276976178512094 0 0.13939768 1.6798539 9.032125
276976135034241 276976178564646 0 -0.06171344 1.9618795 9.211737
276976145140908 276976178613344 0 -0.16226725 2.1626432 9.358262
276976155247575 276976178659542 0 -0.19099429 2.2725844 9.594591
276976165355595 276976178700531 0 -0.20056763 2.2869236 9.807289
276976175470960 276976178742302 0 -0.07127599 2.1721995 9.963266
276976185586272 276976193288033 0 0.086746395 2.0096743 10.067253
276976195701637 276976202694232 0 0.26871094 1.7993482 10.076708
276976205816950 276976209212514 0 0.5225022 1.5412207 10.07671
276976215932314 276976263975384 0 0.6230632 1.3691353 10.053077
276976226047627 276976264018873 0 0.603913 1.3930346 10.076713
276976236162991 276976264062988 0 0.47941697 1.545997 10.02472
276976246278304 276976264105436 0 0.34055564 1.6846191 9.892378
276976256393668 276976264159290 0 0.1825405 1.8471416 9.812027
276976266508981 276976271721270 0 0.067621365 1.9666435 9.797849
276976276624345 276976292736168 0 0.019740544 2.1482866 9.887655
276976286739710 276976292778407 0 0.02932102 2.2869086 9.920742
276976296855022 276976307549555 0 -0.02334831 2.2725668 9.901837
276976306970387 276976309864711 0 -0.10474829 2.2152042 9.835668
276976317085700 276976318872264 0 -0.06643713 2.09092 9.75059
276976327201064 276976329084817 0 0.029335437 1.937955 9.651334
276976337316377 276976339467787 0 0.12510791 1.7993306 9.4717245
276976347431741 276976349541798 0 0.17778446 1.6941669 9.131413
276976357547054 276976358991331 0 0.12511513 1.6654849 8.928172
276976367662418 276976369749977 0 0.0820227 1.7132847 8.776923
276976377777731 276976379611489 0 0.03414182 1.7563046 8.696572
276976387893095 276976390077479 0 0.010203198 1.7993243 8.701302
276976398008408 276976399529355 0 -0.032889172 1.8566844 8.748568
276976408123772 276976410050815 0 -0.06640472 1.9283848 8.999078
276976418239085 276976420418108 0 -0.10470873 1.9953053 9.339392
276976428354450 276976431720088 0 -0.1669549 2.0909064 9.722246
276976438469762 276976439908057 0 -0.13343221 2.1052454 9.996388
