name=GpsLocations vendor=Google current_time_ms=1561441268520
isLocationAvailable size time latitude longitude speed bearingDegrees altitude accuracy verticalAccuracy
 null null 1561441268573 37.7582379 -122.3929881 0.0 0.0 -3.806793212890625 3.0 6.0
 true null 1561441268573 37.7582379 -122.3929881 0.0 0.0 -3.806793212890625 3.0 6.0
 true 1 1561441268656 37.7582159 -122.3930538 0.0 0.0 -7.500000476837158 15.471 4.8
 true 1 1561441270327 37.7582127 -122.3930671 0.66 98.0 13.92169189453125 5.066 24.0
 true 1 1561441272000 37.7582022 -122.393078 0.0 0.0 3.393310546875 3.709 12.0
 true 1 1561441273000 37.7581968 -122.3930774 0.0 0.0 5.1004638671875 3.293 12.0
 true 1 1561441274000 37.7581967 -122.3930767 0.0 0.0 6.39764404296875 3.066 12.0
 true 1 1561441275000 37.7581977 -122.3930741 0.0 0.0 2.952392578125 3.0 8.0
 true 1 1561441276000 37.7581991 -122.3930695 0.0 0.0 1.330169677734375 3.0 8.0
 true 1 1561441277000 37.758202 -122.393065 0.0 0.0 1.47332763671875 3.0 8.0
 true 1 1561441278000 37.7582025 -122.3930627 0.0 0.0 0.042236328125 3.0 8.0
 true 1 1561441279000 37.7582035 -122.3930625 0.0 0.0 -1.347381591796875 3.0 8.0
