name=BMI160 Gyroscope vendor=BOSCH current_time_ms=1561441268489
measured_at recorded_at accuracy value_x value_y value_z
276975912687575 276975977541345 0 -0.101034485 -0.119851224 0.1651489
276975922794241 276975977607438 0 -0.11062184 -0.09321966 0.17473628
276975932900908 276975977685876 0 -0.18305975 0.036742475 0.23758683
276975943007575 276975977746657 0 -0.26188925 0.20611936 0.2940458
276975953114241 276975977811449 0 -0.3151524 0.35632148 0.32174265
276975963220908 276975977879730 0 -0.3492408 0.4575215 0.33026478
276975973327575 276975977944261 0 -0.37374187 0.46710885 0.3185469
276975983434241 276976001479628 0 -0.37693763 0.42662883 0.29404584
276975993540908 276976001533326 0 -0.3641545 0.3733656 0.26315323
276976003647575 276976012486244 0 -0.33113128 0.33395085 0.2343911
276976013754241 276976017302651 0 -0.27573758 0.28281817 0.22160794
276976023860908 276976069848906 0 -0.20543016 0.21570654 0.19817215
276976033967575 276976069908646 0 -0.13831855 0.16457388 0.16088793
276976044074241 276976069962916 0 -0.09038169 0.12409385 0.11721215
276976054180908 276976070017343 0 -0.060554292 0.084679075 0.08099319
276976064287575 276976070075729 0 -0.055227965 0.045264304 0.054361608
276976074394241 276976114032608 0 -0.06801111 0.014371641 0.035186872
276976084500908 276976114082608 0 -0.09251216 0.005849511 0.034121618
276976094607575 276976114130994 0 -0.107425846 0.016502125 0.05010058
276976104714241 276976114173181 0 -0.110621616 0.03567685 0.07247112
276976114820908 276976178791990 0 -0.09144686 0.03674209 0.090580605
276976124927575 276976178847406 0 -0.047771044 0.002653635 0.10016799
276976135034241 276976178895583 0 -0.003029964 -0.037826404 0.075666934
276976145140908 276976178943552 0 0.023601636 -0.077241175 0.008555338
276976155247575 276976178985636 0 0.04171113 -0.11346015 -0.066013105
276976178028616 276976192557095 0 0.061951164 -0.10067704 -0.23379208
276976188143929 276976192708397 0 0.066744864 -0.07298021 -0.24977103
276976198259293 276976209453555 0 0.05662487 -0.032500215 -0.23752049
276976208374658 276976212826160 0 0.030525928 -0.003738122 -0.18692046
