name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1561441268500
measured_at recorded_at accuracy value_x value_y value_z
276975879853408 276975889545607 0 -73.97644 -84.34637 -137.04208
276975889909033 276975975077646 0 -74.16367 -84.36812 -137.45175
276975899966741 276975975308688 0 -73.97696 -84.33087 -136.57655
276975910022991 276975975374886 0 -74.634094 -84.35276 -136.38094
276975920080335 276975975435042 0 -74.7872 -84.74337 -135.75198
276975930138668 276975975492438 0 -74.60551 -84.12804 -135.75035
276975940197991 276975975571657 0 -74.570175 -84.53306 -135.798
276975950254241 276975975646709 0 -74.324745 -84.09284 -135.05827
276975960309033 276975975709730 0 -74.39558 -83.277664 -134.80777
276975970364970 276975975768897 0 -74.36614 -83.07876 -134.9531
276975980421637 276976000901607 0 -74.025795 -82.666405 -135.1724
276975990476689 276976001071659 0 -74.05507 -82.870476 -135.18225
276976000530543 276976003788587 0 -73.92448 -83.31366 -136.49931
276976010586377 276976014562963 0 -73.67697 -82.93542 -137.62175
276976020642314 276976068847291 0 -73.77743 -82.31398 -137.07076
276976030699241 276976069022812 0 -73.84221 -82.10787 -136.87775
276976040755856 276976069079791 0 -73.841866 -82.1182 -137.18813
276976050813147 276976069128489 0 -73.90092 -82.51085 -136.7423
276976060872210 276976069175416 0 -74.176315 -83.13447 -136.87115
276976070929970 276976113099848 0 -74.42867 -82.93978 -136.77745
276976080987106 276976113280056 0 -74.09491 -81.90286 -136.4737
276976091042054 276976113350629 0 -73.966225 -82.28925 -136.08376
276976101095752 276976113403233 0 -73.672295 -83.5032 -136.43784
276976111150595 276976113469900 0 -73.85935 -83.5301 -137.00266
276976121208929 276976177793760 0 -74.21096 -82.750114 -137.44421
276976131264450 276976177860948 0 -73.71837 -81.92133 -137.51657
276976141321429 276976177906938 0 -73.87807 -81.68737 -136.36456
276976151378981 276976177995219 0 -74.52896 -82.3235 -136.38164
276976161434189 276976178048969 0 -74.61557 -82.971855 -137.49747
276976171488564 276976178096573 0 -74.27488 -82.56984 -138.02715
276976181541689 276976192861054 0 -74.275566 -82.54918 -137.40642
276976191595595 276976195120273 0 -74.55805 -82.53274 -136.54666
276976201650700 276976209648712 0 -73.96536 -82.31507 -136.85966
276976211706168 276976263317467 0 -73.52593 -82.48286 -136.38855
276976221763043 276976263409446 0 -73.46877 -82.0334 -135.12737
276976231821012 276976263482154 0 -73.21623 -82.23325 -135.37624
276976241877731 276976263525279 0 -73.48523 -83.47628 -135.873
276976251935491 276976263563196 0 -73.427895 -83.03199 -134.767
276976261991689 276976263610540 0 -73.3096 -82.25187 -135.81384
276976272048356 276976292479345 0 -73.502556 -81.67486 -136.47635
276976282104554 276976292531532 0 -73.47345 -81.46564 -136.31131
276976292162262 276976296053512 0 -73.68979 -81.69661 -136.88597
276976302219085 276976307902419 0 -73.84879 -81.48331 -136.3547
276976312275960 276976314373982 0 -73.87737 -81.70803 -136.98529
276976322333616 276976324046171 0 -73.807045 -82.50772 -136.77023
276976332389502 276976334249505 0 -73.712654 -82.52009 -137.26373
276976342445856 276976344472840 0 -73.899025 -82.56766 -138.44928
276976352502783 276976354416122 0 -73.80653 -82.52322 -137.2358
276976362560179 276976366237738 0 -73.68875 -81.72759 -137.8171
276976372617158 276976374457738 0 -74.03413 -81.56187 -138.47136
276976382671064 276976384833937 0 -73.81138 -81.95029 -138.26453
276976392727418 276976394557220 0 -73.5644 -81.55655 -138.92143
276976402783877 276976406363575 0 -73.74609 -82.171875 -138.92307
276976412841168 276976415165295 0 -73.89816 -82.593475 -139.22519
276976422897314 276976424972118 0 -73.96416 -82.35122 -137.94595
276976432952627 276976435167640 0 -73.99359 -82.550125 -137.80063
276976443010335 276976445335089 0 -74.30918 -82.1958 -138.91057
276976453068200 276976455185246 0 -74.309525 -82.18547 -138.60022
276976463124606 276976466161237 0 -74.24406 -82.41225 -139.41393
276976473179241 276976475351707 0 -74.36149 -83.218185 -139.14297
276976483234241 276976485490666 0 -73.89417 -83.14058 -137.42055
276976493291793 276976495182177 0 -73.67749 -82.91993 -137.15623
276976503347262 276976505761918 0 -73.77206 -82.9024 -136.50755
276976513401793 276976515940461 0 -73.80202 -83.08581 -135.89668
276976523457158 276976525082701 0 -73.74227 -82.71382 -136.96321
276976533511637 276976535928379 0 -73.46653 -82.10053 -137.14473
276976543567262 276976545187391 0 -73.65411 -82.111946 -137.24402
276976553621533 276976555164736 0 -73.93523 -82.13682 -137.6257
276976563675387 276976566074372 0 -73.653595 -82.12743 -137.70955
276976573730387 276976575280779 0 -73.64753 -82.73651 -137.76707
276976583786897 276976585479478 0 -73.601105 -84.3287 -136.99869
276976593844189 276976595388854 0 -73.85295 -84.1495 -137.37056
276976603898877 276976605527188 0 -73.95877 -82.939644 -137.38274
276976613953877 276976634720316 0 -73.553825 -82.728226 -137.63983
276976624009033 276976634767608 0 -73.741066 -82.74997 -138.0495
276976634062522 276976637584275 0 -73.64856 -82.70553 -136.83598
276976644119293 276976645708182 0 -73.83718 -82.68597 -136.00418
276976654179345 276976655901204 0 -74.24109 -82.92837 -136.67816
276976664238460 276976666847715 0 -74.07568 -83.76107 -137.57735
276976674294970 276976676384279 0 -73.94717 -84.142296 -137.03223
276976684350908 276976686469644 0 -73.47761 -84.13183 -137.32716
276976694407366 276976696829020 0 -73.66622 -84.11227 -136.49536
276976704466272 276976706343813 0 -73.91807 -83.93307 -136.86719
276976714522991 276976716772616 0 -73.57097 -84.150444 -137.76474
276976724583095 276976726571784 0 -73.66519 -84.14325 -137.42645
276976734640752 276976736857149 0 -73.454575 -83.31352 -137.10457
276976744700283 276976746406630 0 -73.54759 -83.34247 -137.85254
276976754759345 276976756579860 0 -73.93955 -84.79785 -138.48639
276976764816637 276976767003767 0 -74.1571 -84.99268 -137.97482
276976774873668 276976776879601 0 -74.09907 -84.56906 -137.48955
276976784929866 276976786561894 0 -73.63541 -83.95467 -137.88211
276976794985335 276976796747208 0 -73.5055 -84.37721 -138.57846
276976805039554 276976806933667 0 -73.28918 -84.146225 -138.00375
276976815092470 276976817136012 0 -73.33091 -83.12182 -137.58823
276976825146325 276976828333096 0 -74.19901 -83.96311 -137.40408
276976835201064 276976837880337 0 -73.72339 -84.561714 -137.75652
276976845255856 276976847162942 0 -73.45371 -83.33934 -137.88048
276976855313825 276976857690234 0 -73.76998 -82.96437 -138.36972
276976865372002 276976867285912 0 -73.669365 -83.59098 -139.07591
276976875430752 276976877053934 0 -73.916176 -83.989876 -138.57419
276976885489710 276976887071123 0 -74.19884 -83.96827 -137.55927
276976895547262 276976897138520 0 -74.35697 -83.780785 -137.8039
276976905603929 276976907343885 0 -73.741066 -82.74997 -138.0495
276976915658356 276976918528001 0 -73.61099 -83.17767 -138.90102
276976925714241 276976929344721 0 -73.733795 -83.395195 -139.19328
276976935773512 276976937431961 0 -73.51122 -83.778465 -138.83131
276976945828095 276976947538004 0 -73.7577 -84.18769 -138.63994
276976955882939 276976957736234 0 -74.19174 -84.60834 -138.54787
276976965938564 276976967720818 0 -74.13302 -84.20536 -138.68336
276976975993720 276976977931913 0 -74.17511 -83.170616 -137.95744
276976986050022 276976987710820 0 -73.858315 -83.56108 -137.93376
276976996105960 276976997755978 0 -73.629166 -84.56892 -138.09485
276977006161845 276977007805354 0 -73.88118 -84.38455 -138.3115
276977016218147 276977019073584 0 -73.57548 -83.58785 -139.10387
276977026272991 276977029357439 0 -73.6768 -82.94058 -137.77693
276977036329085 276977037922804 0 -73.95929 -82.92415 -136.91719
276977046386325 276977048294003 0 -73.916 -83.99504 -138.72939
276977056442783 276977058249421 0 -74.00936 -84.01366 -139.16696
276977066499137 276977069090776 0 -74.073616 -83.823044 -139.43954
276977076555231 276977078320204 0 -73.69829 -83.805374 -139.39612
276977086609918 276977088507237 0 -73.38841 -83.56094 -138.53902
276977096663460 276977098537758 0 -73.35846 -83.377525 -139.14989
276977106717731 276977109032343 0 -73.35829 -83.38269 -139.30507
276977116773460 276977119285104 0 -73.569595 -84.19176 -139.00621
276977126828147 276977129115834 0 -73.576 -83.572365 -138.6383
276977136882522 276977139069898 0 -73.46012 -82.71994 -137.51262
276977146935908 276977148962711 0 -73.8526 -84.15982 -137.68091
276977156991116 276977160736671 0 -73.82264 -83.97642 -138.29178
276977167047835 276977169483963 0 -73.17191 -83.33512 -138.11952
276977177102522 276977179592819 0 -72.88594 -83.88318 -136.70908
276977187158564 276977189956986 0 -72.75725 -84.26957 -136.31912
276977197216741 276977199434696 0 -72.733185 -83.48225 -137.02765
276977207273252 276977209520478 0 -72.61558 -82.681465 -137.45378
276977217330387 276977220222198 0 -72.44531 -84.0871 -137.32419
276977227386741 276977229838761 0 -72.74981 -84.91996 -137.61812
276977237443616 276977239824335 0 -72.85684 -83.67394 -136.544
276977247503460 276977249512253 0 -72.73353 -83.471924 -136.7173
276977257561637 276977259849858 0 -73.10142 -84.13997 -138.05965
276977267618200 276977269755796 0 -73.3181 -84.36063 -138.32399
276977277673772 276977280065589 0 -72.88439 -83.92965 -138.10568
276977287730908 276977290174028 0 -72.97896 -83.912125 -137.45703
276977297786325 276977300312622 0 -73.289 -84.15139 -138.15897
276977307841950 276977310300280 0 -72.8546 -83.74107 -138.56139
276977317896116 276977320791478 0 -72.79 -83.942024 -138.59918
276977327955960 276977330375542 0 -72.53832 -84.11604 -138.07214
276977338012783 276977340537158 0 -72.29238 -83.69133 -137.79797
276977348067887 276977349976898 0 -72.32148 -83.900566 -137.96301
276977358123147 276977362616743 0 -72.286316 -84.30041 -137.8555
276977368179397 276977370688098 0 -72.126976 -84.52405 -138.69716
276977378236897 276977380268464 0 -72.250465 -84.7209 -138.36868
276977388293147 276977390859715 0 -72.18655 -84.9012 -137.7858
276977398349658 276977400219559 0 -71.84603 -84.49401 -138.16026
276977408405491 276977410098414 0 -71.94579 -83.89322 -138.22997
276977418458929 276977420718936 0 -72.285965 -84.31073 -138.16585
276977428513043 276977430370656 0 -71.88103 -84.09932 -138.42294
276977438569658 276977440292688 0 -71.2535 -84.27118 -138.31808
276977448626950 276977450341648 0 -71.46429 -85.095726 -138.48474
276977458681845 276977460535972 0 -71.46446 -85.09057 -138.32957
276977468738564 276977470648316 0 -71.03042 -84.66993 -138.42163
276977478796845 276977480667015 0 -71.02956 -84.69575 -139.19754
276977488855127 276977490960193 0 -70.74238 -85.279945 -138.87335
276977498910595 276977500592121 0 -70.461266 -85.25508 -138.49165
276977508966116 276977510658008 0 -70.590126 -84.86352 -138.7264
276977519022522 276977520904832 0 -70.70705 -85.68495 -138.921
276977529076793 276977530920041 0 -70.36098 -85.87135 -138.88748
276977539129658 276977540994521 0 -69.93385 -84.81581 -138.14612
276977549185127 276977550820408 0 -69.740036 -85.41864 -138.25952
276977559241533 276977561017179 0 -69.82716 -86.0515 -138.90984
276977569298095 276977571070878 0 -69.516785 -85.822556 -138.51826
276977579355283 276977581105619 0 -69.112526 -85.59048 -138.15466
276977589410804 276977591204630 0 -68.737526 -85.562485 -137.80089
276977599464658 276977602602392 0 -68.948326 -86.387054 -137.96754
276977609515387 276977611140934 0 -68.7895 -86.595184 -138.34369
276977619569814 276977621283696 0 -68.10309 -86.36923 -138.52945
276977629620960 276977631408645 0 -68.10291 -86.3744 -138.68462
276977639676845 276977641594531 0 -67.69934 -86.121666 -137.70029
276977649731637 276977652903074 0 -67.29456 -85.90509 -137.80222
276977659789189 276977661590887 0 -67.10681 -85.898834 -137.85811
276977669845179 276977673124482 0 -66.88944 -85.698845 -138.2145
276977679902575 276977681889119 0 -66.63726 -85.88836 -138.15302
276977689958512 276977692197297 0 -66.72575 -86.47991 -137.56186
276977700016220 276977702957714 0 -66.250656 -87.06303 -137.44876
276977710073356 276977712918809 0 -65.592834 -87.06179 -138.26508
276977720129293 276977722570216 0 -65.09955 -86.25367 -138.95816
276977730187054 276977732145374 0 -64.69615 -85.99578 -137.81865
276977740243616 276977742135270 0 -64.47375 -86.37388 -137.30148
276977750301897 276977753664126 0 -64.06829 -86.177956 -138.02414
276977760360595 276977763024908 0 -63.909634 -86.380936 -138.24506
276977770417470 276977772764180 0 -63.628345 -86.36122 -138.01852
276977780475595 276977782412670 0 -63.440765 -86.3498 -137.91924
