name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1561441268509
measured_at recorded_at accuracy value_x value_y value_z
276975879853408 0 0 -66.5788 -75.91173 -123.337875
276975889909033 0 0 -66.73134 -76.081795 -123.62172
276975899966741 0 0 -66.87709 -76.24773 -123.88231
276975910022991 0 0 -67.033104 -76.410736 -124.13369
276975920080335 0 0 -67.18907 -76.57835 -124.367386
276975930138668 0 0 -67.338264 -76.730225 -124.596375
276975940197991 0 0 -67.48376 -76.88721 -124.82174
276975950254241 0 0 -67.621346 -77.03213 -125.02762
276975960309033 0 0 -67.757576 -77.15772 -125.2243
276975970364970 0 0 -67.89049 -77.2768 -125.41996
276975980421637 0 0 -68.013885 -77.38521 -125.61611
276975990476689 0 0 -68.135376 -77.495514 -125.80849
276976000530543 0 0 -68.251785 -77.6125 -126.02345
276976010586377 0 0 -68.36089 -77.71956 -126.256714
276976020642314 0 0 -68.46983 -77.81196 -126.474205
276976030699241 0 0 -68.577896 -77.89837 -126.683464
276976040755856 0 0 -68.68377 -77.983246 -126.894745
276976050813147 0 0 -68.78871 -78.07432 -127.09283
276976060872210 0 0 -68.8971 -78.17612 -127.28955
276976070929970 0 0 -69.00837 -78.27194 -127.48041
276976080987106 0 0 -69.11068 -78.34498 -127.6613
276976091042054 0 0 -69.20832 -78.42429 -127.83067
276976101095752 0 0 -69.29808 -78.52642 -128.00374
276976111150595 0 0 -69.38981 -78.627045 -128.18471
276976121208929 0 0 -69.48679 -78.709984 -128.37097
276976131264450 0 0 -69.57189 -78.77457 -128.5549
276976141321429 0 0 -69.65851 -78.83315 -128.71199
276976151378981 0 0 -69.75648 -78.90336 -128.86627
276976161434189 0 0 -69.854195 -78.985176 -129.03986
276976171488564 0 0 -69.94309 -79.05726 -129.22058
276976181541689 0 0 -70.030205 -79.127464 -129.38516
276976191595595 0 0 -70.12125 -79.19594 -129.52916
276976201650700 0 0 -70.198555 -79.25867 -129.67657
276976211706168 0 0 -70.26547 -79.32351 -129.81155
276976221763043 0 0 -70.3299 -79.37801 -129.91847
276976231821012 0 0 -70.38796 -79.43545 -130.02826
276976241877731 0 0 -70.45026 -79.51672 -130.14581
276976251935491 0 0 -70.510155 -79.58743 -130.23877
276976261991689 0 0 -70.56646 -79.64102 -130.35089
276976272048356 0 0 -70.62551 -79.68193 -130.47409
276976282104554 0 0 -70.68279 -79.717804 -130.59149
276976292162262 0 0 -70.74328 -79.75761 -130.71811
276976302219085 0 0 -70.80574 -79.79232 -130.83148
276976312275960 0 0 -70.86752 -79.83085 -130.95526
276976322333616 0 0 -70.92665 -79.8847 -131.07224
276976332389502 0 0 -70.98268 -79.9377 -131.19676
276976342445856 0 0 -71.041336 -79.99059 -131.34264
276976352502783 0 0 -71.096954 -80.041534 -131.46117
276976362560179 0 0 -71.149086 -80.07545 -131.58902
276976372617158 0 0 -71.207115 -80.10535 -131.72745
276976382671064 0 0 -71.25948 -80.14244 -131.85889
276976392727418 0 0 -71.30584 -80.17088 -132.00093
276976402783877 0 0 -71.35492 -80.21113 -132.14015
276976412841168 0 0 -71.406075 -80.25905 -132.28267
276976422897314 0 0 -71.45753 -80.301125 -132.39658
276976432952627 0 0 -71.50853 -80.34635 -132.50525
276976443010335 0 0 -71.564865 -80.38355 -132.6341
276976453068200 0 0 -71.62008 -80.4198 -132.7541
276976463124606 0 0 -71.67285 -80.45988 -132.88805
276976473179241 0 0 -71.72692 -80.51534 -133.01382
276976483234241 0 0 -71.77051 -80.56814 -133.10245
276976493291793 0 0 -71.80887 -80.61545 -133.18399
276976503347262 0 0 -71.84835 -80.66144 -133.25082
276976513401793 0 0 -71.887634 -80.71019 -133.30403
276976523457158 0 0 -71.924934 -80.75048 -133.37762
276976533511637 0 0 -71.95593 -80.777626 -133.45338
276976543567262 0 0 -71.99008 -80.80446 -133.52962
276976553621533 0 0 -72.0292 -80.83125 -133.61198
276976563675387 0 0 -72.06186 -80.857315 -133.69438
276976573730387 0 0 -72.09375 -80.8951 -133.77629
276976583786897 0 0 -72.12407 -80.964165 -133.84111
276976593844189 0 0 -72.158844 -81.02824 -133.91211
276976603898877 0 0 -72.19504 -81.06667 -133.9819
276976613953877 0 0 -72.22237 -81.10009 -134.05547
276976624009033 0 0 -72.25291 -81.13327 -134.13579
276976634062522 0 0 -72.28097 -81.16489 -134.19008
276976644119293 0 0 -72.31227 -81.19548 -134.22656
276976654179345 0 0 -72.35108 -81.23035 -134.2759
276976664238460 0 0 -72.38578 -81.28126 -134.34232
276976674294970 0 0 -72.41718 -81.3388 -134.39642
276976684350908 0 0 -72.43851 -81.39497 -134.45537
276976694407366 0 0 -72.4632 -81.44962 -134.4964
276976704466272 0 0 -72.49247 -81.49959 -134.5441
276976714522991 0 0 -72.51416 -81.5529 -134.60887
276976724583095 0 0 -72.537315 -81.60502 -134.66556
276976734640752 0 0 -72.55576 -81.63939 -134.71461
276976744700283 0 0 -72.575714 -81.67365 -134.77774
276976754759345 0 0 -72.60315 -81.7365 -134.85236
276976764816637 0 0 -72.63441 -81.802 -134.91516
276976774873668 0 0 -72.663864 -81.85766 -134.96695
276976784929866 0 0 -72.6834 -81.89983 -135.02557
276976794985335 0 0 -72.699936 -81.94965 -135.09703
276976805039554 0 0 -72.711784 -81.99382 -135.15549
276976815092470 0 0 -72.724236 -82.0165 -135.2044
276976825146325 0 0 -72.75389 -82.05564 -135.24864
276976835201064 0 0 -72.773384 -82.10603 -135.29907
276976845255856 0 0 -72.78706 -82.13084 -135.35098
276976855313825 0 0 -72.80684 -82.147606 -135.41171
276976865372002 0 0 -72.82419 -82.17664 -135.48543
276976875430752 0 0 -72.84615 -82.21312 -135.54756
276976885489710 0 0 -72.87337 -82.24843 -135.58803
276976895547262 0 0 -72.90321 -82.27925 -135.6326
276976905603929 0 0 -72.92007 -82.28872 -135.68121
276976915658356 0 0 -72.93396 -82.306595 -135.74596
276976925714241 0 0 -72.95004 -82.32849 -135.81529
276976935773512 0 0 -72.961334 -82.357666 -135.87598
276976945828095 0 0 -72.97735 -82.39446 -135.93156
276976955882939 0 0 -73.00177 -82.43898 -135.98418
276976965938564 0 0 -73.02452 -82.4745 -136.03847
276976975993720 0 0 -73.04766 -82.4885 -136.07706
276976986050022 0 0 -73.063965 -82.51008 -136.1144
276976996105960 0 0 -73.07533 -82.55148 -136.15422
276977006161845 0 0 -73.09154 -82.58835 -136.1976
276977016218147 0 0 -73.10127 -82.60845 -136.25606
276977026272991 0 0 -73.11285 -82.61513 -136.28664
276977036329085 0 0 -73.12987 -82.621346 -136.29932
276977046386325 0 0 -73.14568 -82.64898 -136.34819
276977056442783 0 0 -73.163055 -82.67643 -136.40488
276977066499137 0 0 -73.181366 -82.69949 -136.46591
276977076555231 0 0 -73.191765 -82.72173 -136.52484
276977086609918 0 0 -73.19572 -82.73861 -136.56534
276977096663460 0 0 -73.19899 -82.75146 -136.61731
276977106717731 0 0 -73.202194 -82.76415 -136.67136
276977116773460 0 0 -73.20958 -82.79286 -136.7183
276977126828147 0 0 -73.21695 -82.80854 -136.75691
276977136882522 0 0 -73.22184 -82.806755 -136.77211
276977146935908 0 0 -73.23452 -82.83396 -136.79039
276977156991116 0 0 -73.246346 -82.85693 -136.82059
276977167047835 0 0 -73.24485 -82.866554 -136.84671
276977177102522 0 0 -73.23763 -82.887 -136.84395
276977187158564 0 0 -73.227974 -82.91481 -136.83339
276977197216741 0 0 -73.21802 -82.92622 -136.8373
276977207273252 0 0 -73.2059 -82.9213 -136.8497
276977217330387 0 0 -73.190605 -82.944756 -136.85924
276977227386741 0 0 -73.18174 -82.98448 -136.8745
276977237443616 0 0 -73.1752 -82.99835 -136.86784
276977247503460 0 0 -73.16631 -83.00788 -136.8648
276977257561637 0 0 -73.16501 -83.030655 -136.88884
276977267618200 0 0 -73.16809 -83.0574 -136.91771
276977277673772 0 0 -73.162384 -83.07494 -136.9416
276977287730908 0 0 -73.15869 -83.09178 -136.95197
276977297786325 0 0 -73.16131 -83.11309 -136.97624
276977307841950 0 0 -73.15514 -83.12572 -137.00812
276977317896116 0 0 -73.147804 -83.14213 -137.04012
276977327955960 0 0 -73.135544 -83.16172 -137.06088
276977338012783 0 0 -73.11858 -83.17237 -137.07571
276977348067887 0 0 -73.102554 -83.18701 -137.09355
276977358123147 0 0 -73.086136 -83.209404 -137.10887
276977368179397 0 0 -73.06684 -83.23585 -137.14082
276977378236897 0 0 -73.05042 -83.26572 -137.16553
276977388293147 0 0 -73.03305 -83.29861 -137.17801
276977398349658 0 0 -73.00918 -83.32265 -137.19777
276977408405491 0 0 -72.98779 -83.33412 -137.21852
276977418458929 0 0 -72.97368 -83.35376 -137.23756
276977428513043 0 0 -72.951706 -83.36875 -137.2614
276977438569658 0 0 -72.91755 -83.3869 -137.28265
276977448626950 0 0 -72.88832 -83.42127 -137.30684
276977458681845 0 0 -72.85969 -83.45484 -137.32741
276977468738564 0 0 -72.82289 -83.47928 -137.34941
276977478796845 0 0 -72.78681 -83.503746 -137.38658
276977488855127 0 0 -72.74568 -83.539474 -137.41649
276977498910595 0 0 -72.69974 -83.573975 -137.43811
276977508966116 0 0 -72.65731 -83.59991 -137.46402
276977519022522 0 0 -72.61809 -83.641846 -137.49332
276977529076793 0 0 -72.5727 -83.686676 -137.52135
276977539129658 0 0 -72.519646 -83.70938 -137.5339
276977549185127 0 0 -72.463745 -83.74376 -137.5485
276977559241533 0 0 -72.41071 -83.79018 -137.57587
276977569298095 0 0 -72.35251 -83.831055 -137.59482
276977579355283 0 0 -72.28734 -83.86645 -137.60608
