name=Gravity Sensor vendor=Google current_time_ms=1562661887265
measured_at recorded_at accuracy value_x value_y value_z
185880647508038 185880650186366 0 -0.8112785 5.076801 8.35488
185880657614705 185880660740898 0 -0.82246166 5.0857787 8.348325
185880667721372 185880671550691 0 -0.829364 5.090148 8.344978
185880677828038 185880684938869 0 -0.83414114 5.0877333 8.345975
185880687934705 185880725240384 0 -0.8371114 5.078921 8.351043
185880698041372 185880725299290 0 -0.83644074 5.065027 8.359544
185880708148038 185880725347571 0 -0.8325031 5.0484896 8.369935
185880718254705 185880725394915 0 -0.82473224 5.0325603 8.380291
185880728361372 185880731622416 0 -0.81375456 5.019207 8.389367
185880738468038 185880774159399 0 -0.8004406 5.0076475 8.397552
185880748574705 185880774242941 0 -0.7855261 4.995588 8.406138
185880758681372 185880774294191 0 -0.7690897 4.9813766 8.416086
185880768788038 185880774341430 0 -0.74974096 4.966519 8.426606
185880778894705 185880781637837 0 -0.72967744 4.9525785 8.436566
185880789001372 185880792236484 0 -0.7106722 4.941647 8.444594
185880799108038 185880802235131 0 -0.693709 4.935815 8.449414
185880809214705 185880812442997 0 -0.68068653 4.937298 8.449607
185880819321372 185880822897685 0 -0.6725748 4.946513 8.444866
185880829428038 185880832592322 0 -0.66887546 4.96219 8.435958
185880839534705 185880842404666 0 -0.6665276 4.981936 8.424499
185880849641372 185880852067428 0 -0.66487145 5.0042005 8.411423
185880859748038 185880862953262 0 -0.6623485 5.0295444 8.396493
185880869854705 185880876485763 0 -0.65149474 5.05975 8.379176
185880879961372 185880882891858 0 -0.62945235 5.0950966 8.359419
185880890068038 185880892321494 0 -0.5931024 5.133713 8.338426
185880900174705 185880903272329 0 -0.5464397 5.1707473 8.3187065
185880910281372 185880913319361 0 -0.499555 5.2019024 8.302214
185880920388038 185880924017539 0 -0.4576398 5.2260885 8.289432
185880930494705 185880932698738 0 -0.4243126 5.2427635 8.28067
185880940601372 185881005293953 0 -0.40193003 5.253075 8.2752495
185880950708038 185881005329266 0 -0.38940617 5.2604046 8.271193
185880960814705 185881005389526 0 -0.38160145 5.2681417 8.26663
185880970921372 185881005423693 0 -0.3747545 5.2778115 8.260774
185880981028038 185881005456089 0 -0.36833426 5.2890954 8.253841
185880991134705 185881005488276 0 -0.36168274 5.300177 8.247025
185881001241372 185881005525255 0 -0.3559972 5.3092732 8.241419
185881011348038 185881013827392 0 -0.34890687 5.316939 8.236779
185881021454705 185881028252289 0 -0.33706394 5.3264933 8.231098
185881031561372 185881035010102 0 -0.31506905 5.3411617 8.22246
185881041668038 185881044772134 0 -0.2857663 5.362116 8.209883
185881051774705 185881055038490 0 -0.26018006 5.3866935 8.19463
185881061881372 185881065139584 0 -0.24231331 5.411239 8.17899
