name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1562661887293
measured_at recorded_at accuracy value_x value_y value_z
185880574056059 0 0 -23.791458 -9.309079 -105.060356
185880584116059 0 0 -23.852793 -9.334144 -105.290054
185880594174861 0 0 -23.921621 -9.36706 -105.510124
185880604236945 0 0 -23.99227 -9.395551 -105.73077
185880614293351 0 0 -24.062057 -9.427246 -105.937675
185880624352153 0 0 -24.119833 -9.449889 -106.14601
185880634409445 0 0 -24.170195 -9.467468 -106.34225
185880644468090 0 0 -24.210148 -9.483135 -106.49991
185880654525903 0 0 -24.24434 -9.49015 -106.65511
185880664581945 0 0 -24.280884 -9.505918 -106.82573
185880674639080 0 0 -24.318474 -9.533372 -106.98417
185880684695643 0 0 -24.359077 -9.560502 -107.1414
185880694756997 0 0 -24.390146 -9.578738 -107.30053
185880704820278 0 0 -24.42626 -9.596904 -107.45792
185880714881111 0 0 -24.471066 -9.615534 -107.6249
185880724939861 0 0 -24.508005 -9.637327 -107.78157
185880734998559 0 0 -24.539257 -9.650034 -107.92645
185880745059861 0 0 -24.57106 -9.670909 -108.075096
185880755117986 0 0 -24.611032 -9.688605 -108.24891
185880765177361 0 0 -24.652103 -9.705699 -108.409325
185880775239393 0 0 -24.686825 -9.709696 -108.55771
185880785302153 0 0 -24.727686 -9.722327 -108.7112
185880795361215 0 0 -24.767727 -9.73418 -108.84593
185880805421945 0 0 -24.800278 -9.724205 -108.95001
185880815481580 0 0 -24.82766 -9.723078 -109.0728
185880825541372 0 0 -24.861897 -9.73531 -109.217
185880835599445 0 0 -24.89852 -9.755151 -109.345634
185880845655955 0 0 -24.927446 -9.7781315 -109.46474
185880855715799 0 0 -24.950125 -9.80078 -109.59254
185880865775434 0 0 -24.978598 -9.827372 -109.7194
185880875836007 0 0 -25.013363 -9.861312 -109.82681
185880885895122 0 0 -25.051184 -9.895209 -109.94654
185880895954445 0 0 -25.09638 -9.932991 -110.068054
185880906012570 0 0 -25.136896 -9.96957 -110.17887
185880916071945 0 0 -25.178473 -10.0060005 -110.30252
