name=BMI160 Accelerometer vendor=BOSCH current_time_ms=1561446802400
measured_at recorded_at accuracy value_x value_y value_z
282509775131045 282509883145124 0 -0.89806 2.897766 9.549416
282509785237712 282509883230593 0 -1.7073076 2.6252995 9.823557
282509795344379 282509883296270 0 -1.9994026 2.400634 9.984261
282509805451045 282509883365593 0 -1.9850373 2.4197545 9.936995
282509815557712 282509883428822 0 -1.4918274 2.5727181 9.885002
282509825664379 282509883496530 0 -0.89806 2.7448022 9.899181
282509835771045 282509883555801 0 -0.34260017 2.811724 9.8188305
282509845877712 282509883616843 0 0.006956447 2.7161217 9.577775
282509855984379 282509883683718 0 0.20328277 2.6635404 9.280002
282509866091045 282509883746583 0 -0.103177845 2.7017813 9.128751
282509876197712 282509883808197 0 -0.6346954 2.5153568 9.067306
282509886304379 282509890229031 0 -1.0800209 2.027785 8.953868
282509896411045 282509916219190 0 -1.4726735 1.6883968 8.986954
282509906517712 282509916280284 0 -1.850961 1.4350507 8.741172
282509916624379 282509919720284 0 -1.9754605 1.243846 8.623008
282509926731045 282509930044920 0 -1.6881537 0.9426988 8.61828
282509936837712 282509959815340 0 -1.1662129 0.8375363 8.859336
282509946944379 282509960018153 0 -0.74004126 0.9761597 9.331993
282509957051045 282509960076434 0 -0.50061893 1.153024 9.303634
282509967157712 282509984151749 0 -0.40006152 1.2199455 9.119298
282509977264379 282509984232218 0 -0.43358067 1.2056051 8.920782
282509987371045 282510057631652 0 -0.5532918 1.1434637 8.61828
282509997477712 282510057756339 0 -0.7879257 1.028741 8.769531
282510007586462 282510057811131 0 -1.1566361 0.93313855 8.9775
282510017700420 282510057879725 0 -1.6977305 0.866217 9.043673
282510027814379 282510057929881 0 -1.9132106 1.0574216 9.379259
282510037928337 282510057970767 0 -1.7120961 1.368129 9.833011
282510048042347 282510058010298 0 -1.4918274 1.5688939 10.026799
282510058156306 282510064291653 0 -1.3242317 1.6214752 10.01262
282510068270264 282510070170195 0 -1.1183286 1.7314178 9.984261
282510078384222 282510082646238 0 -0.9986174 1.8748213 9.946447
282510088498181 282510103077594 0 -0.8789062 1.9608634 9.762111
282510098612139 282510103182125 0 -0.7496182 2.0038843 9.450157
282510108726097 282510110623793 0 -0.7113106 2.0182247 9.398166
282510118840108 282510148870984 0 -0.6634261 2.0182247 9.506877
282510128954066 282510148911505 0 -0.6346954 1.908282 9.51633
282510139068025 282510148942546 0 -0.74004126 1.8078997 9.573049
282510149181983 282510151798745 0 -1.0512904 1.7075173 9.51633
282510159295941 282510166323798 0 -1.0560788 1.5880144 9.544689
282510169409900 282510172403903 0 -0.8932715 1.578454 9.700666
282510179523858 282510186493488 0 -0.59638786 1.6836168 9.809377
282510189637868 282510191465832 0 -0.38090774 1.736198 9.752658
282510199751827 282510203271146 0 -0.31865793 1.7266377 9.568321
282510209865785 282510212388230 0 -0.2707735 1.6788366 9.483244
282510219979743 282510222332033 0 -0.222889 1.6883968 9.464337
282510230093702 282510235813961 0 -0.11275475 1.7266377 9.473791
282510240207660 282510242429743 0 -0.08402407 1.8365803 9.497423
282510250321670 282510253040213 0 -0.050504938 1.9752038 9.525783
282510260435629 282510263431464 0 -0.17500456 2.0469055 9.535236
282510270549587 282510272325892 0 -0.45273447 2.0421255 9.346172
282510280663545 282510286179643 0 -0.5628687 2.0421255 9.265821
282510290777504 282510293197873 0 -0.5197727 2.075586 9.30836
282510300891462 282510304239177 0 -0.4287922 2.104267 9.265821
282510311005420 282510312632094 0 -0.2947157 2.0994868 9.313087
282510321119431 282510323518345 0 -0.19415833 2.1281674 9.303634
282510331233389 282510336009909 0 -0.20852369 2.0947065 9.213829
282510341347347 282510343665691 0 -0.23246591 2.0134447 9.194923
282510351461306 282510354730223 0 -0.25640813 1.946523 9.190196
282510361575264 282510363882776 0 -0.24683124 1.9130622 9.232736
282510371689222 282510374127725 0 -0.2947157 1.9369627 9.30836
282510381803181 282510384409497 0 -0.3234464 1.946523 9.3603525
282510391917191 282510393873769 0 -0.39048466 1.9799838 9.4076185
282510402031150 282510404639499 0 -0.37611932 2.0038843 9.48797
282510412145108 282510435899606 0 -0.3138695 2.0182247 9.554142
282510422259066 282510435952263 0 -0.21810056 2.1186073 9.535236
282510432373025 282510435967158 0 -0.14627388 2.1520681 9.506877
282510442486983 282510445506378 0 -0.103177845 2.1425078 9.435978
282510452600941 282510455030025 0 -0.045716487 2.0803664 9.412345
282510462714952 282510465085390 0 -0.0026204558 2.0947065 9.440704
282510472828910 282510475366433 0 -0.055293392 2.1998692 9.469064
282510482942868 282510485498101 0 -0.23246591 2.2428904 9.464337
282510493056827 282510495606643 0 -0.23725437 2.23333 9.492697
282510503170785 282510505078311 0 -0.2133121 2.23811 9.464337
282510513286670 282510515380239 0 -0.25640813 2.2142096 9.469064
282510523402868 282510525934094 0 -0.20373523 2.1903088 9.48797
282510533519066 282510535930189 0 -0.07444717 2.1903088 9.440704
282510543635316 282510545927794 0 -0.036139585 2.2572305 9.469064
282510553751514 282510556125608 0 -0.045716487 2.281131 9.50215
282510563867712 282510567190192 0 -0.07444717 2.2906914 9.492697
282510573983910 282510576000974 0 -0.098389395 2.285911 9.51633
282510584100160 282510586053111 0 -0.06487026 2.2667906 9.554142
282510594216358 282510596056653 0 -0.055293392 2.2620106 9.464337
282510604332556 282510606235821 0 -0.12712008 2.276351 9.421798
282510614448754 282510617151135 0 -0.20852369 2.2189896 9.431252
282510624564952 282510626320094 0 -0.2707735 2.1425078 9.365079
282510634681202 282510636363272 0 -0.28035036 2.104267 9.275274
282510644797400 282510646758586 0 -0.19894679 2.1186073 9.393438
282510654913597 282510656968066 0 -0.1702161 2.1903088 9.521056
282510665029795 282510667232181 0 -0.1702161 2.271571 9.568321
