name=AzimuthSensor vendor=Kyle current_time_ms=1561445543718
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
281251038 0 0.0 0.0 0.0 0 0.0 0.0 0.0 0 0.0 0.0 0.0 0.0
281251072 0 -66.36535 -77.26079 -123.10764 0 -0.2586587 2.3847384 8.002465 0 -0.1451073 -0.1038674 0.22367021 119.34972834918398
281251104 0 -66.75111 -77.72557 -123.72823 0 -0.23120372 2.3853838 8.088406 0 -0.14689672 -0.09872139 0.22535218 119.72847599903952
281251138 0 -67.123535 -78.15224 -124.33689 0 -0.19008978 2.3727772 8.192689 0 -0.14944302 -0.08811245 0.22306941 120.31953324905578
281251171 0 -67.50846 -78.54043 -124.95862 0 -0.16136801 2.3459098 8.268406 0 -0.1564103 -0.08211193 0.2143446 120.88168513850451
281251203 0 -67.98289 -79.00788 -125.78568 0 -0.12727952 2.311826 8.357137 0 -0.16671467 -0.07844268 0.18318316 121.53976020465689
281251236 0 -68.3219 -79.3183 -126.4303 0 -0.11085787 2.3030133 8.446994 0 -0.16462976 -0.07544453 0.16079392 121.87327834182861
281251269 0 -68.665955 -79.60715 -127.03817 0 -0.10954708 2.319063 8.549684 0 -0.15394795 -0.068014145 0.14903979 121.93506423306053
281251302 0 -69.058044 -79.99368 -127.85987 0 -0.11323673 2.3285122 8.617001 0 -0.13944575 -0.05649822 0.13642488 121.9498037812894
281251335 0 -69.328064 -80.28697 -128.43628 0 -0.11292042 2.3221161 8.67699 0 -0.13014649 -0.05566571 0.12830228 122.13430085114982
281251368 0 -69.58179 -80.52203 -128.95952 0 -0.11511524 2.3209984 8.752534 0 -0.11369075 -0.054288007 0.12158494 122.27776214447675
281251401 0 -69.83504 -80.76824 -129.45314 0 -0.11946553 2.333362 8.801741 0 -0.09687927 -0.05139394 0.115329824 122.23918523604453
281251434 0 -70.15773 -81.071976 -130.07678 0 -0.123243146 2.3377106 8.847011 0 -0.08605621 -0.051517073 0.10421734 122.25137029352379
281251467 0 -70.382454 -81.28445 -130.46254 0 -0.124097124 2.332853 8.895124 0 -0.073664285 -0.055993985 0.09751036 122.3821410953729
281251500 0 -70.5682 -81.5062 -130.7845 0 -0.114480145 2.331444 8.934135 0 -0.05679699 -0.059895042 0.091946036 122.53090261549573
281251533 0 -70.84711 -81.79495 -131.26854 0 -0.09715371 2.3380723 8.965253 0 -0.043772817 -0.06119551 0.087196045 122.60220979043072
281251566 0 -71.04986 -81.99258 -131.58115 0 -0.08963058 2.3490226 8.982895 0 -0.03823999 -0.060861547 0.08002095 122.56815446722902
281251599 0 -71.25046 -82.186066 -131.95184 0 -0.08088072 2.3565724 8.999531 0 -0.036884755 -0.06084409 0.07447976 122.55624261731651
281251632 0 -71.441475 -82.39503 -132.25735 0 -0.06711674 2.368327 9.029473 0 -0.03181032 -0.059074584 0.07032625 122.58038050584332
281251665 0 -71.67977 -82.6279 -132.65248 0 -0.05227196 2.3794365 9.05148 0 -0.027229227 -0.05605048 0.066134885 122.57943793973789
281251698 0 -71.84397 -82.78694 -132.91388 0 -0.037488 2.3841405 9.080082 0 -0.025441788 -0.053526882 0.060614884 122.65457002060805
