name=BMI160 Gyroscope vendor=BOSCH current_time_ms=1561445543521
measured_at recorded_at accuracy value_x value_y value_z
281250932595552 281250941126898 0 0.13026343 -0.0199458 0.08320786
281250942702219 281250966944973 0 0.083391815 -0.033794183 0.10557838
281250952808886 281250966955494 0 0.0034970269 -0.022076242 0.12901415
281250962915552 281250966972734 0 -0.07746302 -0.023141464 0.15458047
281250973022219 281250983966642 0 -0.15096623 -0.043381426 0.18334256
281250983128886 281250991031434 0 -0.19996838 -0.056164548 0.20677835
281250993235552 281251039720345 0 -0.22127369 -0.06575187 0.2078436
281251003342219 281251039730918 0 -0.22873054 -0.07001288 0.20251727
281251013448886 281251039738105 0 -0.23192637 -0.05296863 0.2003867
281251023555552 281251039744980 0 -0.22766533 -0.030598052 0.20464775
281251036215552 281251040684824 0 -0.16321692 -0.11635171 0.24512774
281251046322219 281251050956127 0 -0.117410615 -0.16109273 0.2632372
281251056428886 281251065601441 0 -0.099833794 -0.08279583 0.27548772
281251066535552 281251070732536 0 -0.132857 -0.030065238 0.2770856
281251076642219 281251084773006 0 -0.16374967 -0.029532565 0.26909614
281251086748886 281251092057017 0 -0.18185917 -0.021543046 0.2557803
281251096855552 281251101230039 0 -0.17972866 -0.0013029962 0.23181187
281251106962219 281251111404206 0 -0.1834571 0.037046533 0.2094413
281251117068886 281251121359311 0 -0.19091398 0.08871186 0.18866865
281251127175552 281251131679156 0 -0.19464242 0.1121477 0.16363496
281251137282219 281251141679574 0 -0.21701297 0.056754038 0.12848124
281251147388886 281251151608481 0 -0.26441723 0.009882484 0.08427279
281251157495552 281251161604315 0 -0.31661516 -0.026336433 0.018226434
281251167602219 281251171644785 0 -0.32939836 -0.051370084 -0.07072309
281251177708886 281251181700255 0 -0.31554997 -0.05083741 -0.15647683
281251187815552 281251191520308 0 -0.28199416 -0.02207525 -0.22838211
281251197922219 281251201510674 0 -0.22766577 -0.018346786 -0.26939476
281251208028886 281251212988435 0 -0.18132684 -0.033793062 -0.25661165
281251218135552 281251221748332 0 -0.13658579 -0.034858286 -0.19855478
281251228242219 281251231818750 0 -0.07906158 -0.015683498 -0.12824741
281251238348886 281251242483282 0 -0.022070013 0.014143922 -0.065396875
281251248455552 281251252768700 0 0.0221384 0.04876503 -0.030243201
281251258562219 281251262278857 0 0.043976277 0.08445141 -0.01639479
281251268668886 281251273771723 0 0.05303099 0.10309355 -0.011068488
281251278775552 281251283107348 0 0.040780436 0.10256097 -0.007872713
281251288882219 281251293593808 0 0.021605667 0.07592942 -0.010003256
281251298988886 281251302721882 0 0.009887744 0.03598208 -0.017992748
281251309095552 281251313413758 0 0.0040287683 -0.012487368 -0.012133813
281251319202219 281251324105582 0 0.0077571655 -0.049771547 0.0011819648
281251329308886 281251334033499 0 0.038649783 -0.06415256 0.009704057
281251339415552 281251343198500 0 0.09084767 -0.052434623 0.011834568
281251349522219 281251353822980 0 0.15103503 -0.029531412 0.014497712
281251359628886 281251363990846 0 0.1963087 -0.016215578 0.019291382
281251369735552 281251374546576 0 0.2000371 -0.0055628987 0.024085052
281251379842219 281251383571108 0 0.175536 -0.0023670653 0.020356614
281251389948886 281251394439860 0 0.13345808 -0.008758604 0.004910277
281251400055552 281251404437361 0 0.08285804 -0.016215406 -0.015329745
281251410162219 281251414569132 0 0.038116947 -0.036988 -0.029710818
281251420268886 281251424346425 0 0.017344285 -0.06148902 -0.03237399
281251430375552 281251434745332 0 0.027996894 -0.09451215 -0.027580323
281251440482219 281251445034500 0 0.066346355 -0.12274159 -0.017460335
281251450588886 281251454982470 0 0.123337924 -0.13019839 -0.0073403474
281251460695552 281251466351013 0 0.17553583 -0.1275352 -0.0014814134
281251470802219 281251475768513 0 0.20642844 -0.12380672 0.0022469931
281251480908886 281251485425754 0 0.21282 -0.12220879 0.0033122413
281251491015552 281251495481328 0 0.21122207 -0.11901295 0.0059753843
281251501122219 281251505100496 0 0.19524309 -0.10516448 0.009171159
281251511236125 281251515779976 0 0.16648096 -0.08119601 0.012366934
281251521350552 281251525912008 0 0.12653354 -0.059890695 0.014497446
281251531465031 281251535938103 0 0.08339035 -0.050303284 0.008105848
281251541579458 281251545392479 0 0.04077978 -0.054031663 6.489884E-4
281251551693938 281251556135032 0 0.0066913213 -0.059890572 -0.010003663
281251561808365 281251566348887 0 -0.020472923 -0.063086316 -0.014797364
281251571922844 281251576392169 0 -0.030060321 -0.06308627 -0.015862644
