name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1561446802424
measured_at recorded_at accuracy value_x value_y value_z
282509784268389 0 0 -64.37334 -76.86983 -122.14009
282509794319379 0 0 -64.52017 -77.049995 -122.41897
282509804368389 0 0 -64.66155 -77.22234 -122.69255
282509814416879 0 0 -64.79822 -77.39063 -122.94559
282509824462712 0 0 -64.938484 -77.547134 -123.17836
282509834512556 0 0 -65.07787 -77.70072 -123.4091
282509844559847 0 0 -65.2037 -77.8547 -123.632484
282509854607347 0 0 -65.32206 -77.99695 -123.84275
282509864652243 0 0 -65.43494 -78.12835 -124.05826
282509874699327 0 0 -65.52611 -78.25272 -124.284256
282509884746202 0 0 -65.60978 -78.37472 -124.51675
282509894793910 0 0 -65.694244 -78.49864 -124.75046
282509904842712 0 0 -65.770775 -78.6158 -124.98099
282509914891722 0 0 -65.836555 -78.70643 -125.2261
282509924936722 0 0 -65.90461 -78.808495 -125.49427
282509934984483 0 0 -65.97698 -78.90832 -125.74297
282509945033025 0 0 -66.05322 -78.97785 -125.98562
282509955082035 0 0 -66.12978 -79.047195 -126.25715
282509965126202 0 0 -66.19924 -79.10248 -126.51739
282509975172504 0 0 -66.27501 -79.14395 -126.74722
282509985221410 0 0 -66.35304 -79.18483 -126.974495
282509995268858 0 0 -66.425865 -79.212 -127.18154
282510005314066 0 0 -66.49591 -79.242546 -127.38203
282510015358181 0 0 -66.56133 -79.277176 -127.6016
282510025403337 0 0 -66.63488 -79.311325 -127.81086
282510035452139 0 0 -66.71135 -79.34882 -128.00883
282510045497191 0 0 -66.78506 -79.37787 -128.21794
282510055543806 0 0 -66.865875 -79.42765 -128.4409
282510065592816 0 0 -66.94368 -79.49241 -128.652
282510075637920 0 0 -67.020035 -79.54288 -128.83578
282510085682712 0 0 -67.0991 -79.60848 -129.00674
282510095729170 0 0 -67.17908 -79.676636 -129.16458
282510105773702 0 0 -67.25003 -79.7304 -129.30472
282510115820525 0 0 -67.310844 -79.77485 -129.45016
282510125868545 0 0 -67.37231 -79.8191 -129.61086
282510135917556 0 0 -67.4368 -79.87841 -129.75296
282510145966879 0 0 -67.50449 -79.928 -129.87454
282510156018597 0 0 -67.571556 -79.96857 -129.99588
282510166068441 0 0 -67.6416 -80.013054 -130.12943
282510176117868 0 0 -67.7172 -80.05248 -130.24847
282510186166306 0 0 -67.80621 -80.1048 -130.38985
282510196213910 0 0 -67.89907 -80.15697 -130.54851
282510206260108 0 0 -67.97757 -80.19899 -130.69135
282510216305941 0 0 -68.05698 -80.24402 -130.8216
282510226351254 0 0 -68.14407 -80.3011 -130.96004
282510236397504 0 0 -68.231895 -80.361626 -131.10782
282510246444743 0 0 -68.31489 -80.41299 -131.26216
282510256491618 0 0 -68.395515 -80.47093 -131.39877
282510266537816 0 0 -68.47184 -80.546776 -131.49788
282510276585420 0 0 -68.54038 -80.61723 -131.60898
282510286631254 0 0 -68.61142 -80.674255 -131.71866
282510296677400 0 0 -68.687996 -80.72618 -131.82057
282510306723337 0 0 -68.76679 -80.7775 -131.92868
282510316767816 0 0 -68.84341 -80.82378 -132.0375
282510326814952 0 0 -68.91837 -80.881584 -132.15158
282510336861202 0 0 -68.99183 -80.938126 -132.26022
282510346907452 0 0 -69.05943 -80.98962 -132.37697
282510356953754 0 0 -69.1244 -81.0438 -132.48277
282510367002504 0 0 -69.18927 -81.104485 -132.56816
282510377052712 0 0 -69.25602 -81.1604 -132.663
282510387100837 0 0 -69.314575 -81.20668 -132.75407
282510397148650 0 0 -69.367485 -81.259735 -132.83604
282510407194847 0 0 -69.43123 -81.31619 -132.9132
282510417240264 0 0 -69.49793 -81.387764 -132.98277
282510427287556 0 0 -69.560814 -81.45427 -133.06693
282510437334795 0 0 -69.61631 -81.5027 -133.14348
282510447382087 0 0 -69.66954 -81.541336 -133.19939
282510457427035 0 0 -69.72532 -81.591965 -133.26666
282510467473650 0 0 -69.78115 -81.6502 -133.34547
282510477521462 0 0 -69.83599 -81.69513 -133.42467
282510487570108 0 0 -69.88656 -81.74272 -133.49112
282510497616827 0 0 -69.9348 -81.79339 -133.55699
282510507663077 0 0 -69.98655 -81.83523 -133.62569
282510517709900 0 0 -70.03726 -81.87613 -133.6899
282510527758129 0 0 -70.08553 -81.93291 -133.76721
282510537805108 0 0 -70.13012 -82.00844 -133.83316
282510547853389 0 0 -70.17584 -82.06986 -133.8836
282510557899900 0 0 -70.22334 -82.110146 -133.94283
282510567947035 0 0 -70.271645 -82.16213 -134.00769
282510577994066 0 0 -70.320854 -82.21345 -134.08005
