name=BMP380 Barometer vendor=Bosch current_time_ms=1561446802429
measured_at recorded_at accuracy value
282509793637191 282509810209648 3 1007.1472
282509833639066 282509883985228 3 1007.0688
282509873604900 282509884046843 3 1006.9659
282509913606722 282509916464190 3 1007.174
282509953608025 282509960676121 3 1007.2621
282509993605420 282510058448787 3 1007.13794
282510033605420 282510058498944 3 1007.23706
282510073586775 282510076241862 3 1007.1671
282510113605733 282510147896921 3 1007.0672
282510153604900 282510165868538 3 1007.2228
282510193605993 282510195042551 3 1007.17377
282510233606202 282510235997138 3 1007.0228
282510273605160 282510275071361 3 1006.98096
282510313616618 282510319179803 3 1007.03674
282510353610889 282510355141786 3 1007.0085
282510393584639 282510394666790 3 1007.0573
282510433585837 282510436433461 3 1007.07263
282510473585316 282510475468569 3 1007.08246
282510513583129 282510515680135 3 1007.10535
282510553624431 282510556221493 3 1007.08704
282510593608545 282510596144466 3 1007.0412
282510633620004 282510635475876 3 1007.06396
282510673611150 282510675191088 3 1007.0691
282510713621045 282510715592238 3 1007.04315
282510753617400 282510755764846 3 1007.02545
282510793616879 282510795052090 3 1007.04376
282510833613754 282510835883084 3 1007.04315
282510873610420 282510875105692 3 1007.0251
282510913584535 282510914950435 3 1007.0887
282510953589431 282510955166273 3 1007.04565
282510993617920 282510995611381 3 1007.04517
282511033614275 282511036739562 3 1007.0585
282511073616879 282511075159097 3 1007.0426
282511113614275 282511115034101 3 1007.053
282511153603597 282511155361345 3 1007.068
282511193617139 282511195038640 3 1007.03467
282511233614587 282511235834321 3 1007.0573
282511273586462 282511275102554 3 1007.06024
282511313598285 282511314677090 3 1007.06024
282511353584379 282511354938448 3 1007.0552
282511393584275 282511395596525 3 1007.06506
282511433582087 282511436634446 3 1007.01416
282511473583181 282511476013720 3 1007.0367
282511513583181 282511515288620 3 1007.06244
282511553584483 282511557736697 3 1007.0262
282511593583962 282511594897586 3 1007.0521
282511633583077 282511635049257 3 1007.0544
282511673582087 282511675048584 3 1007.06433
