name=BMI160 Accelerometer vendor=BOSCH current_time_ms=1562661887253
measured_at recorded_at accuracy value_x value_y value_z
185880561601372 185880591455006 0 -0.84061176 5.0382657 8.253943
185880566654705 185880591533339 0 -0.9268038 5.100407 8.509178
185880571708038 185880591596985 0 -0.95074606 5.1147475 8.405193
185880576761372 185880591666412 0 -0.8597656 5.1099677 8.287029
185880581814705 185880591736100 0 -0.7735735 5.100407 8.211404
185880586868038 185880591804954 0 -0.67301613 5.0860667 8.225584
185880596974705 185880646562876 0 -0.65386236 5.062166 8.3012085
185880607081372 185880646628918 0 -0.64428544 5.119528 8.816404
185880617188038 185880646700793 0 -0.778362 5.239031 8.821132
185880627294705 185880646770324 0 -0.9028616 5.2151303 8.197225
185880637401372 185880646838449 0 -0.97947675 5.014365 8.121599
185880647508038 185880650049126 0 -1.0273612 4.933103 8.334294
185880657614705 185880660608659 0 -1.0704572 4.9856844 8.400467
185880667721372 185880671958139 0 -1.1374955 5.124308 8.509178
185880677828038 185880684769911 0 -1.0752456 5.2246904 8.405193
185880687934705 185880724880123 0 -0.94595766 5.1529884 8.145231
185880698041372 185880725061582 0 -0.8932847 5.062166 8.149959
185880708148038 185880725119186 0 -0.9268038 5.033486 8.107419
185880718254705 185880725166946 0 -0.93638074 5.0526066 8.154684
185880728361372 185880731483093 0 -0.94595766 5.0526066 8.131052
185880738468038 185880773756951 0 -1.0177844 4.9761243 8.173591
185880748574705 185880773971170 0 -1.0752456 4.9378834 8.197225
185880758681372 185880774025962 0 -1.0656687 4.909203 8.112145
185880768788038 185880774091378 0 -0.96989983 4.8614016 8.268123
185880778894705 185880781475962 0 -0.93638074 4.8900824 8.476091
185880789001372 185880792144974 0 -0.8884962 4.971344 8.641521
185880799108038 185880802044454 0 -0.8070926 5.033486 8.745506
185880809214705 185880812666903 0 -0.67301613 5.004805 8.788046
185880819321372 185880822766123 0 -0.62992007 4.9809046 8.754959
185880829428038 185880832128415 0 -0.6155548 4.971344 8.528084
185880839534705 185880842151958 0 -0.596401 4.8518414 8.523357
185880849641372 185880851904928 0 -0.6347086 4.8088202 8.509178
185880859748038 185880862621700 0 -0.5437281 4.670197 8.282302
185880869854705 185880875527378 0 -0.40486312 4.421631 8.263396
185880879961372 185880882619670 0 -0.26599818 4.2399864 8.400467
185880890068038 185880892055088 0 -0.016998975 4.139604 8.74078
185880900174705 185880902930089 0 0.27030787 4.474212 9.014921
185880910281372 185880913075298 0 0.29903853 5.0000253 8.830585
185880920388038 185880923802226 0 0.2655194 5.2342505 8.74078
185880930494705 185880932545196 0 0.27509633 5.21035 8.86367
185880940601372 185881004914266 0 0.2463656 5.090847 8.915663
185880950708038 185881005049735 0 0.0069432813 5.0239253 8.769139
185880960814705 185881005094891 0 -0.050518077 5.047826 8.570622
185880970921372 185881005140724 0 -0.1271332 5.1577687 8.551717
185880981028038 185881005179214 0 -0.2468444 5.3633137 8.570622
185880991134705 185881005213641 0 -0.42401692 5.5306177 8.702968
185881001241372 185881005245464 0 -0.68259305 5.592759 8.811678
185881011348038 185881013732131 0 -0.74963135 5.61666 8.71242
185881021454705 185881028177185 0 -0.66822773 5.559298 8.622616
185881031561372 185881034930467 0 -0.6921699 5.525838 8.821132
185881041668038 185881044666718 0 -0.41444 5.554518 9.05746
185881051774705 185881054961823 0 -0.21332528 5.6118793 8.925117
185881061881372 185881065041511 0 -0.22769059 5.6262197 8.750233
185881071988038 185881075363439 0 -0.28515196 5.540178 8.821132
185881082094705 185881085032190 0 -0.2995173 5.521057 8.641521
185881092201372 185881095068598 0 -0.22769059 5.4732566 8.471365
185881102308038 185881105532245 0 -0.1271332 5.492377 8.476091
185881112414705 185881114844068 0 -0.08403721 5.468476 8.386287
185881122526736 185881125919642 0 -0.021787368 5.3489733 8.249216
185881132642413 185881136414487 0 0.026097087 5.325073 8.362654
185881142758090 185881145132769 0 0.03567399 5.325073 8.438279
185881152873820 185881158651729 0 0.0069432813 5.3633137 8.523357
185881162989497 185881165176313 0 -0.079248756 5.4397955 8.542263
185881173105174 185881176724022 0 -0.1271332 5.4445753 8.589529
185881183220851 185881186920378 0 -0.14149857 5.4732566 8.509178
185881193336580 185881197201629 0 -0.09361411 5.4780364 8.414646
185881203452257 185881211748557 0 -0.03136427 5.5162773 8.348474
185881213567934 185881217067360 0 -0.045729622 5.5114975 8.225584
185881223683611 185881230612830 0 -0.026575819 5.5162773 8.008161
185881233799340 185881236353195 0 -0.016998975 5.3537536 7.904176
185881243915018 185881251651738 0 -0.06009498 5.3202925 7.9278097
185881254030695 185881257199603 0 -0.079248756 5.3441935 7.771832
185881264146372 185881266590750 0 -0.08882566 5.3107324 7.771832
185881274262049 185881276907157 0 -0.11755633 5.3394127 7.7860117
185881284377778 185881286687731 0 -0.11276788 5.387214 7.923083
185881294493455 185881297951535 0 -0.122344784 5.501937 8.097966
185881304609132 185881307325494 0 -0.21811369 5.587979 8.131052
185881314724809 185881317091641 0 -0.30430576 5.540178 8.178318
185881324840538 185881327293308 0 -0.37134403 5.501937 8.197225
185881334956215 185881337620809 0 -0.40965158 5.4732566 7.9278097
185881345071893 185881347343623 0 -0.38570935 5.3585334 7.8001914
185881355187570 185881358144509 0 -0.3330364 5.334633 7.7954655
185881365303299 185881367968781 0 -0.48147827 5.4350157 8.480819
185881375418976 185881377662428 0 -0.52936274 5.9321475 8.140505
185881385534653 185881387965554 0 -0.27078664 5.826985 7.889996
185881395650330 185881399039878 0 -0.2803635 5.4445753 7.9278097
185881405766007 185881408279202 0 -0.44795915 5.497157 7.828551
185881415881736 185881418229463 0 -0.57245874 5.6118793 7.8947234
185881425997413 185881428883006 0 -0.64428544 5.6262197 8.031795
185881436113090 185881438535715 0 -0.62034327 5.717042 8.079061
185881446228768 185881448739206 0 -0.5628819 5.8126445 7.9325356
185881456344497 185881458709884 0 -0.5628819 5.7696233 7.771832
185881466460174 185881468929729 0 -0.6059779 5.6740212 7.644215
185881476575851 185881479432230 0 -0.6586508 5.6501203 7.6347613
185881486691528 185881489006449 0 -0.6155548 5.7027016 7.620582
185881496807257 185881501320409 0 -0.5245743 5.6979218 7.5685897
185881506922934 185881510372389 0 -0.44795915 5.6118793 7.52605
185881517038611 185881519693484 0 -0.3809209 5.506717 7.4220657
185881527154288 185881529785256 0 -0.37134403 5.425455 7.3795266
185881537269965 185881539647652 0 -0.37134403 5.425455 7.4362454
185881547385695 185881549831091 0 -0.328248 5.463696 7.52605
185881557501372 185881560070571 0 -0.328248 5.3585334 7.672574
185881567617049 185881569881874 0 -0.14628701 5.1529884 8.287029
185881577732726 185881580432865 0 0.10271225 5.4445753 8.079061
185881587848455 185881590552918 0 0.29903853 5.468476 7.8947234
185881597964132 185881600577450 0 0.19848116 5.167329 7.965622
185881608079809 185881613211774 0 0.18321231 5.2154446 7.837661
185881618196163 185881620432817 0 0.24066903 5.435332 7.75258
185881628315955 185881631977662 0 0.25024128 5.5309353 7.7573056
185881638435799 185881642159642 0 0.19277528 5.6265397 7.6674986
185881648555590 185881650988549 0 0.025175009 5.6886826 7.5398793
185881658675434 185881661307404 0 -0.12805994 5.6982446 7.558784
185881668795226 185881671136832 0 -0.27650645 5.789068 7.563509
185881678915070 185881681333760 0 -0.28608796 5.8177505 7.6391325
185881689034861 185881691740532 0 -0.2860926 5.760391 7.7714744
185881699154653 185881701900169 0 -0.3004626 5.7221518 7.9038167
185881709274497 185881712026680 0 -0.2477943 5.755614 7.9699874
185881719394288 185881721689389 0 -0.24301055 5.7556157 8.116509
185881729514132 185881732555224 0 -0.29568803 5.769957 8.135414
185881739633924 185881742635329 0 -0.3914617 5.7747397 8.135412
185881749753768 185881753229340 0 -0.40104315 5.7938614 8.083417
185881759873559 185881763844393 0 -0.338798 5.8368835 8.055056
185881769993351 185881773296061 0 -0.31007197 5.8799067 7.9841566
185881780113195 185881784510958 0 -0.3052882 5.8464475 7.8376307
185881790232986 185881793877365 0 -0.26698524 5.731726 7.743098
185881800352830 185881804106689 0 -0.24304767 5.7078276 7.7525487
185881810472622 185881814381169 0 -0.23347542 5.7508497 7.7761803
185881820592465 185881823664608 0 -0.2574223 5.755632 7.795085
185881830712257 185881834335546 0 -0.2717923 5.774754 7.832895
185881840832101 185881843438620 0 -0.2765854 5.812997 7.965237
185881850951893 185881854340757 0 -0.233494 5.8129983 7.932149
185881861071684 185881864943310 0 -0.26222932 5.755638 7.9510546
185881871191528 185881876186905 0 -0.31011847 5.7365193 7.984139
185881881311320 185881884119718 0 -0.2813924 5.846463 7.9557776
185881891431163 185881895270344 0 -0.2047819 5.846465 7.936869
185881901550955 185881904709720 0 -0.15211365 5.760425 7.908508
185881911670799 185881915293054 0 -0.15690672 5.7556458 7.908506
185881921790590 185881927364722 0 -0.21437275 5.769988 7.913231
185881931910434 185881934996025 0 -0.2143774 5.7030683 7.8754168
185881942030226 185881945820401 0 -0.22395892 5.626588 7.899049
185881952150018 185881955019152 0 -0.23832892 5.6218095 7.960491
185881962269861 185881965245924 0 -0.3245256 5.660052 8.088107
185881972389653 185881976884311 0 -0.36762628 5.6696143 8.111738
185881982509497 185881985604988 0 -0.34368867 5.693516 8.177909
185881992629288 185881997987490 0 -0.31496266 5.7030783 8.135367
185882002749132 185882005681345 0 -0.29581344 5.683959 8.059741
185882012868924 185882016662544 0 -0.2287799 5.688741 8.059739
185882022988715 185882026399524 0 -0.19047691 5.679182 7.9604793
185882033108559 185882035873952 0 -0.2575198 5.6552835 7.8943057
185882043228351 185882046530724 0 -0.31977427 5.7126465 7.9037566
185882053348195 185882056972027 0 -0.34850958 5.7413287 7.932114
185882063467986 185882066290517 0 -0.35809115 5.6935287 7.9179325
185882073587830 185882075945050 0 -0.32457665 5.7126513 7.9699235
185882083707622 185882086252603 0 -0.33894664 5.760454 7.960468
185882093827465 185882096939531 0 -0.41556644 5.7700157 7.946286
185882103947257 185882106240105 0 -0.4490902 5.789138 7.889566
185882114067049 185882116741981 0 -0.47782552 5.779579 7.875385
185882124186476 185882128337399 0 -0.4874071 5.7269998 7.889563
185882134305799 185882137176254 0 -0.43952724 5.727001 7.965186
