name=GpsLocations vendor=Google current_time_ms=1562661887304
isLocationAvailable size time latitude longitude speed bearingDegrees altitude accuracy verticalAccuracy
 null 1 1562661889286 37.7582259 -122.3930148 0.0 0.0 -8.799999237060547 15.921 4.6000004
 true 1 1562661889286 37.7582259 -122.3930148 0.0 0.0 -8.799999237060547 15.921 4.6000004
 true 1 1562661889297 37.7582259 -122.3930148 0.0 0.0 -8.799999237060547 15.921 4.6000004
 true 1 1562661894000 37.7582336 -122.3930848 0.75 131.0 16.08526611328125 20.368 32.0
 true 1 1562661895000 37.7582085 -122.3930918 1.79 187.0 9.8114013671875 17.372 32.0
 true 1 1562661896000 37.7582414 -122.3930706 1.93 60.0 -8.799999237060547 11.567 5.2000003
 true 1 1562661897000 37.7582452 -122.3930666 1.67 79.0 -8.799999237060547 11.179 5.2000003
 true 1 1562661898000 37.7582483 -122.3930651 0.0 0.0 -8.799999237060547 10.83 5.2000003
 true 1 1562661899000 37.75825 -122.3930638 0.0 0.0 -8.799999237060547 10.532 5.2000003
 true 1 1562661900000 37.7582519 -122.3930635 3.8 34.0 -8.799999237060547 10.767 5.2000003
 true 1 1562661901000 37.758252 -122.39307 1.4 342.0 -8.799999237060547 10.381 5.2000003
 true 1 1562661902000 37.7582434 -122.3930647 0.86 9.0 -8.799999237060547 9.817 4.7
 true 1 1562661903000 37.7582412 -122.3930605 0.61 18.0 -8.799999237060547 9.559 4.7
 true 1 1562661904000 37.7582415 -122.3930546 1.3 12.0 -8.799999237060547 9.432 4.7
 true 1 1562661905000 37.7582424 -122.3930494 0.67 15.0 -8.799999237060547 9.308 4.7
 true 1 1562661906000 37.7582428 -122.3930453 0.78 21.0 -8.799999237060547 9.232 4.7
 true 1 1562661907000 37.7582422 -122.3930423 0.64 184.0 -8.799999237060547 9.174 4.7
 true 1 1562661908000 37.7582407 -122.3930398 0.64 177.0 -8.799999237060547 9.131 4.7
 true 1 1562661909000 37.7582442 -122.3930426 0.22 164.0 -8.899999618530273 9.091 4.8
 true 1 1562661910000 37.7582452 -122.3930418 0.24 124.0 -8.899999618530273 9.073 4.8
 true 1 1562661911000 37.7582476 -122.3930363 0.0 0.0 -8.899999618530273 9.05 4.8
 true 1 1562661912000 37.7582458 -122.3930327 0.0 0.0 -8.899999618530273 9.182 4.8
 true 1 1562661913000 37.7582447 -122.3930259 0.0 0.0 -8.899999618530273 9.141 4.8
 true 1 1562661914000 37.7582491 -122.3930219 0.0 0.0 -8.899999618530273 9.154 4.8
 true 1 1562661915000 37.7582544 -122.3930208 0.0 0.0 -8.799999237060547 9.424 4.8
 true 1 1562661916000 37.7582559 -122.3930206 0.0 0.0 -8.799999237060547 9.448 4.8
 true 1 1562661917000 37.758257 -122.3930205 0.0 0.0 -8.799999237060547 9.413 4.8
 true 1 1562661918000 37.7582534 -122.3930173 0.0 0.0 -8.799999237060547 9.282 4.8
 true 1 1562661919000 37.7582549 -122.3930187 0.0 0.0 -8.799999237060547 9.217 4.8
 true 1 1562661920000 37.758251 -122.3930182 0.0 0.0 -8.799999237060547 9.259 4.8
 true 1 1562661921000 37.7582496 -122.3930206 0.0 0.0 -8.899999618530273 9.134 4.7
 true 1 1562661922000 37.7582521 -122.3930221 0.0 0.0 -8.899999618530273 9.137 4.7
 true 1 1562661923000 37.7582526 -122.3930173 0.0 0.0 -8.899999618530273 9.188 4.7
 true 1 1562661924000 37.7582541 -122.3930204 0.0 0.0 -8.899999618530273 9.237 4.7
 true 1 1562661925000 37.758252 -122.3930277 0.0 0.0 -8.899999618530273 9.186 4.7
 true 1 1562661926000 37.7582535 -122.3930279 0.0 0.0 -8.899999618530273 9.19 4.7
 true 1 1562661927000 37.7582603 -122.3930316 0.0 0.0 -8.799999237060547 9.087 4.7
