name=BMI160 Gyroscope vendor=BOSCH current_time_ms=1562661887270
measured_at recorded_at accuracy value_x value_y value_z
185880589421372 185880645186574 0 -0.0025252812 0.015484 0.06979064
185880599528038 185880645422511 0 0.023041043 0.06288823 0.07192117
185880609634705 185880645490897 0 0.04541158 0.21415564 0.07138853
185880619741372 185880645557720 0 0.08535896 0.31748623 0.05647484
185880629848038 185880645648188 0 0.124241084 0.2807346 0.039430626
185880639954705 185880645720480 0 0.12956738 0.21095985 0.036767468
185880650061372 185880655620585 0 0.101870544 0.16035984 0.045822203
185880660168038 185880671714649 0 0.04700947 0.11135772 0.04848536
185880670274705 185880678211837 0 -0.03288529 0.0825956 0.042626414
185880680381372 185880685005171 0 -0.10692111 0.050105065 0.024516936
185880690488038 185880725449498 0 -0.16604324 0.001102942 0.014929564
185880700594705 185880725530175 0 -0.19746852 -0.035648648 0.018125353
185880710701372 185880725582050 0 -0.1905443 -0.07772656 0.023451671
185880720808038 185880725633509 0 -0.1601843 -0.113945514 0.02611483
185880730914705 185880774395545 0 -0.13834639 -0.14430553 0.021321146
185880741021372 185880774457941 0 -0.1452706 -0.15549079 0.03410431
185880751128038 185880774516899 0 -0.17296746 -0.15655605 0.062333792
185880761234705 185880774565597 0 -0.18415272 -0.16454554 0.10654223
185880771341372 185880776249191 0 -0.17722851 -0.1437729 0.15607697
185880781448038 185880785789192 0 -0.1452706 -0.10489078 0.20135067
185880791554705 185880796015078 0 -0.08774637 -0.061747603 0.23437384
185880801661372 185880806015131 0 -0.0025252812 -0.009017061 0.24555911
185880811768038 185880817680705 0 0.08802212 0.051170334 0.24982017
185880821874705 185880826377685 0 0.16365582 0.105498776 0.2535486
185880831981372 185880836219145 0 0.21159267 0.12360825 0.25621176
185880842088038 185880846718573 0 0.24195269 0.12999983 0.25195068
185880852194705 185880857011595 0 0.28030217 0.10869456 0.23171069
185880862301372 185880866803315 0 0.3431527 -0.023398116 0.17365383
185880872408038 185880879240139 0 0.4097317 -0.19011185 0.115596965
185880882514705 185880887123681 0 0.45340753 -0.38612035 0.07192116
185880892621372 185880896992276 0 0.4368959 -0.5171478 0.058605373
185880902728038 185880907618319 0 0.3660559 -0.5043646 0.084704325
185880912834705 185880917394934 0 0.28296536 -0.43672037 0.09908539
185880922941372 185880928172956 0 0.19454846 -0.3381835 0.09322643
185880933048038 185880937830092 0 0.11998002 -0.21834134 0.07618222
185880943154705 185881005568641 0 0.08589159 -0.1187392 0.047952734
185880953261372 185881005607026 0 0.092283174 -0.08305287 0.0154621955
185880963368038 185881005645933 0 0.11518634 -0.068671815 0.020255882
185880973474705 185881005681245 0 0.13276318 -0.039909706 0.057540104
185880983581372 185881005714839 0 0.12850213 -0.014876011 0.101215914
185880993688038 185881005749266 0 0.104001075 0.0090924185 0.12092329
185881003794705 185881010565152 0 0.08695686 -0.00848443 0.11985803
185881013901372 185881018897913 0 0.11039265 -0.07399813 0.10654223
185881024008038 185881029019633 0 0.17271057 -0.20023185 0.100150645
185881034114705 185881039391300 0 0.2488769 -0.2833224 0.107074864
185881044221372 185881049082031 0 0.29361796 -0.2460382 0.09535696
185881054328038 185881059709063 0 0.29468322 -0.16880658 0.07138853
185881064434705 185881069452866 0 0.2637906 -0.1187392 0.038365364
185881074541372 185881080032711 0 0.21958216 -0.075596035 0.018125353
185881084648038 185881089697139 0 0.17643899 -0.08305287 0.012799037
185881094754705 185881100062400 0 0.13915476 -0.0953034 0.013331668
185881104861372 185881110913287 0 0.104001075 -0.054290757 1.5874393E-5
185881114968872 185881120094069 0 0.06724948 -0.024996014 -0.022887293
185881125084601 185881130051570 0 0.037954733 -0.022332855 -0.044725195
185881135200278 185881141614488 0 0.017182095 -0.0180718 -0.05218204
185881145315955 185881150637457 0 0.023573674 -0.022865487 -0.06336731
185881155431632 185881161334958 0 0.070977904 -0.03245286 -0.06549783
185881165547361 185881170296730 0 0.13755688 -0.034583382 -0.07401994
185881175663038 185881180671054 0 0.19880952 -0.035116017 -0.080411516
185881185778715 185881191296524 0 0.22810426 -0.0532255 -0.079346254
185881195894393 185881200921317 0 0.2201148 -0.062280238 -0.07881362
185881206010070 185881213741526 0 0.1700474 -0.058551818 -0.08254205
185881216125799 185881229366371 0 0.111457914 -0.061747603 -0.098521
185881226241476 185881230826788 0 0.06298843 -0.07666129 -0.12035891
185881236357153 185881251560853 0 0.012921039 -0.07772656 -0.12675048
185881246472830 185881251579342 0 -0.019569498 -0.066541284 -0.12568521
185881256588559 185881261445385 0 -0.013177916 -0.061747603 -0.12621786
185881266704236 185881273166688 0 0.01877999 -0.051627602 -0.112369426
185881276819913 185881281172106 0 0.053933688 -0.051627602 -0.095857844
185881286935590 185881295119816 0 0.05499895 -0.04789918 -0.0766831
185881297051320 185881301714972 0 0.015051568 -0.021800224 -0.06336731
185881307166997 185881312608203 0 -0.027558973 0.0048313644 -0.069758885
185881317282674 185881323658881 0 -0.06271267 0.028799795 -0.09319468
185881327398351 185881331864507 0 -0.06644109 0.04051769 -0.11716311
185881337514028 185881343447320 0 -0.030754764 -0.010082325 -0.119293645
185881347629757 185881352997530 0 0.02197578 -0.08252024 -0.088933624
185881357745434 185881363144301 0 0.083761066 -0.1490992 -0.038333613
185881367861111 185881372092792 0 0.13542634 -0.10329288 0.018125353
185881377976788 185881383220970 0 0.19454846 -0.100629725 0.016527459
185881388092518 185881393396284 0 0.20094004 -0.07399814 -0.0031799162
185881398208195 185881403376858 0 0.17803688 -0.019137064 5.4850616E-4
185881408323872 185881412804411 0 0.16791686 0.022940844 0.0048095603
185881418439549 185881425847537 0 0.15939477 0.0389198 0.018657986
185881428555278 185881434127225 0 0.13489372 0.02453874 0.042093784
185881438670955 185881444116185 0 0.10187055 -0.0010275845 0.07138853
185881448786632 185881453069519 0 0.06938001 -4.949528E-4 0.090563275
185881458902309 185881464595457 0 0.048074737 0.016016632 0.097487494
185881469017986 185881474754469 0 0.035824206 0.027734531 0.09961802
185881479133715 185881484464261 0 0.023041043 0.042115588 0.101215914
185881489249393 185881493909262 0 0.017182093 0.058094542 0.10494433
185881499365070 185881504569888 0 0.024106307 0.08845456 0.115596965
185881509480747 185881514778535 0 0.053933684 0.14651142 0.13423908
185881519596476 185881524823015 0 0.09814212 0.21095985 0.15341382
185881529712153 185881534036037 0 0.13063265 0.27753884 0.18004541
185881539827830 185881545040830 0 0.14022002 0.3169536 0.19229594
185881549943507 185881554469685 0 0.14501372 0.26954937 0.18377382
185881560059236 185881565237707 0 0.17430845 0.10496614 0.1667296
185881570174913 185881574513177 0 0.22863689 -0.036713913 0.13051066
185881580290590 185881585410834 0 0.23236531 -0.13098973 0.06766011
185881590406268 185881595714533 0 0.17537372 -0.13471815 0.03303904
185881600521945 185881604889898 0 0.13169792 -0.13312025 0.021321146
185881610637674 185881615233910 0 0.121574745 -0.1767907 0.0234497
185881620756059 185881625972973 0 0.12370525 -0.182117 0.034634955
185881630875903 185881635956985 0 0.11411786 -0.10382009 0.0623318
185881640995695 185881646219486 0 0.101334676 0.0048368154 0.09322443
185881651115486 185881655947976 0 0.08642098 0.07514424 0.111866534
185881661235330 185881666437300 0 0.053930428 0.11136322 0.11293179
185881671355122 185881677064593 0 -3.9802957E-4 0.11882009 0.101746514
185881681474965 185881686512979 0 -0.069640175 0.110298015 0.08310439
185881691594757 185881697918762 0 -0.12290337 0.09591699 0.067125425
185881701714601 185881706787513 0 -0.13781708 0.07461174 0.051146463
185881711834393 185881717369597 0 -0.11438129 0.06715493 0.038363285
185881721954236 185881727160692 0 -0.06324866 0.08100338 0.022916956
185881732074028 185881737282932 0 0.005993454 0.1161571 0.0096011525
185881742193820 185881747453506 0 0.08429031 0.14545187 5.464023E-4
185881752313663 185881757395695 0 0.1466082 0.16675717 0.009601133
185881762433455 185881767548977 0 0.15939134 0.18752983 0.028775867
185881772553299 185881776925905 0 0.133825 0.20084566 0.03676533
185881782673090 185881788715125 0 0.09387761 0.18167093 0.03570006
185881792792934 185881798221064 0 0.047006004 0.14864781 0.03250426
185881802912726 185881809080440 0 -0.009985613 0.111363605 0.02771056
185881813032518 185881817923982 0 -0.06697723 0.07354678 0.02717792
185881823152361 185881828359348 0 -0.116512 0.042121537 0.026645277
185881833272153 185881838490963 0 -0.14527413 0.027740505 0.029308427
185881843391997 185881848561277 0 -0.15113309 0.03839317 0.029308416
185881853511788 185881858744715 0 -0.132491 0.037860565 0.026645247
185881863631632 185881868765446 0 -0.080293104 0.03519743 0.02717787
185881873751424 185881878930134 0 -0.008920464 0.040523775 0.036765233
185881883871268 185881889417583 0 0.05179954 0.060231183 0.041558906
185881893991059 185881899484251 0 0.078431115 0.08526491 0.045819953
185881904110851 185881909114668 0 0.07044162 0.121483885 0.04262415
185881914230695 185881919333888 0 0.02996159 0.14278919 0.03303677
185881924350486 185881929659775 0 -0.023834236 0.14385447 0.019720964
185881934470330 185881939579723 0 -0.06697743 0.12681028 0.012264108
185881944590122 185881949768266 0 -0.08402166 0.100178726 0.009068308
185881954709965 185881960570663 0 -0.0845543 0.06662296 0.016525144
185881964829757 185881969131393 0 -0.081891164 0.039458763 0.027177768
185881974949601 185881980034675 0 -0.07496697 0.019218784 0.03037355
185881985069393 185881990072228 0 -0.06484698 0.0224146 0.036232486
185881995189184 185882000264990 0 -0.039813302 0.028273577 0.04581985
185882005309028 185882009997647 0 -0.009985939 0.046383087 0.050613523
185882015428820 185882020936346 0 0.018243529 0.07567786 0.037297722
185882025548663 185882030646139 0 0.031559307 0.09112421 0.013329281
185882035668455 185882040695359 0 0.02570034 0.09272213 -0.006378104
185882045788299 185882050448120 0 0.020906638 0.08153689 -0.021824436
185882055908090 185882061151975 0 0.019841358 0.063960075 -0.02022655
185882066027882 185882071165987 0 0.01930871 0.051176935 -0.010639189
185882076147726 185882081222290 0 0.028363433 0.060764335 1.3436656E-5
185882086267518 185882091906457 0 0.037950788 0.086863324 0.005872376
185882096387361 185882103530938 0 0.0400813 0.101244405 0.010666052
185882106507153 185882112435782 0 0.036885493 0.109766535 0.0154597275
185882116626788 185882120942710 0 0.027298104 0.10071182 0.017057613
185882126746163 185882131347503 0 0.0027970276 0.06981921 0.027710237
185882136865486 185882141158441 0 -0.028628264 0.04851397 0.029308124
185882146984809 185882151538599 0 -0.05259671 0.04052452 0.021318637
185882157104132 185882161957871 0 -0.06537989 0.042655077 0.015459677
185882167223455 185882171584069 0 -0.06431464 0.048514053 0.008002821
185882177342830 185882182219904 0 -0.052596755 0.05756882 0.002676494
185882187462153 185882191962249 0 -0.04513993 0.0735478 0.0058722747
185882197581476 185882201907510 0 -0.045139946 0.09059205 0.010133319
185882207700799 185882211854334 0 -0.04993365 0.1012447 0.009600677
