name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1562661887284
measured_at recorded_at accuracy value_x value_y value_z
185880574056059 185880590499329 0 -26.434954 -10.343422 -116.733734
185880584116059 185880590935110 0 -26.839905 -10.5548315 -116.47663
185880594174861 185880645800636 0 -27.274126 -10.970317 -116.22939
185880604236945 185880645870480 0 -27.432262 -10.782829 -116.47399
185880614293351 185880645930845 0 -27.462051 -10.971407 -116.01831
185880624352153 185880646004855 0 -26.933952 -10.552795 -116.29351
185880634409445 185880646073084 0 -26.62357 -10.323856 -115.90193
185880644468090 185880647699907 0 -26.156254 -10.246252 -114.1795
185880654525903 185880660424544 0 -25.909958 -9.831862 -114.215675
185880664581945 185880671781368 0 -26.061342 -10.274109 -115.13853
185880674639080 185880678367983 0 -26.149673 -10.870822 -114.70256
185880684695643 185880725693978 0 -26.337257 -10.88224 -114.80185
185880694756997 185880725748457 0 -25.903034 -10.466756 -115.0491
185880704820278 185880725813717 0 -26.18449 -10.481301 -115.12044
185880714881111 185880725864811 0 -26.653011 -10.522758 -115.756615
185880724939861 185880729636165 0 -26.307295 -10.698827 -115.41272
185880734998559 185880774702941 0 -26.061516 -10.268945 -114.98335
185880745059861 185880774761639 0 -26.119713 -10.6874075 -115.31342
185880755117986 185880774816430 0 -26.5581 -10.550614 -116.715645
185880765177361 185880774862889 0 -26.652494 -10.538249 -116.22216
185880775239393 185880777103358 0 -26.377445 -9.904303 -115.782936
185880785302153 185880790686953 0 -26.717102 -10.337312 -116.18436
185880795361215 185880797123828 0 -26.717964 -10.311491 -115.40845
185880805421945 185880807146069 0 -26.385403 -9.238421 -114.018425
185880815481580 185880817895862 0 -26.161283 -9.668159 -115.05306
185880825541372 185880827370394 0 -26.529346 -10.331058 -116.24025
185880835599445 185880837273364 0 -26.682457 -10.721663 -115.6113
185880845655955 185880847384667 0 -26.33674 -10.897733 -115.26739
185880855715799 185880857475814 0 -26.054592 -10.903843 -115.81678
185880865775434 185880867622429 0 -26.36532 -11.122454 -115.89798
185880875836007 185880879539097 0 -26.706352 -11.514153 -115.05795
185880885895122 185880889356338 0 -26.893246 -11.5462265 -115.77796
185880895954445 185880897717953 0 -27.29768 -11.773131 -115.986404
185880906012570 185880907983267 0 -27.110443 -11.751386 -115.57676
185880916071945 185880918014049 0 -27.203457 -11.780333 -116.32472
185880926133195 185880930494310 0 -27.695877 -12.614278 -116.40755
185880936192153 185880938127697 0 -27.665916 -12.430866 -117.01842
185880946253715 185881005791870 0 -27.635782 -12.252616 -117.78447
185880956311945 185881005826401 0 -27.759792 -12.433993 -116.99047
185880966369601 185881005857599 0 -27.91793 -12.246506 -117.23507
185880976428455 185881005888641 0 -27.823536 -12.25887 -117.72858
185880986489080 185881005919474 0 -27.730175 -12.240251 -117.29096
185880996549184 185881005949630 0 -27.917587 -12.256834 -117.54543
185881006608768 185881010686506 0 -28.07052 -12.652606 -117.07167
185881016668715 185881019079892 0 -28.346088 -13.271062 -117.04535
185881026728247 185881029084841 0 -28.094936 -13.429603 -116.05277
185881036788038 185881039467186 0 -28.441343 -13.232878 -115.775955
185881046849965 185881049146666 0 -28.937586 -13.524879 -117.81862
185881056911007 185881059464480 0 -28.41052 -13.075287 -117.16272
185881066968663 185881069275574 0 -28.470098 -13.45244 -116.25136
185881077027153 185881079594482 0 -28.492962 -14.27591 -116.629105
185881087087049 185881089440472 0 -28.903284 -13.898904 -116.935196
185881097147361 185881099711306 0 -29.407486 -13.525024 -117.21335
185881107206893 185881110707922 0 -28.87384 -13.700001 -117.08051
185881117265799 185881119888183 0 -28.838507 -14.105008 -117.128174
185881127325226 185881129836830 0 -29.025572 -14.131919 -117.693016
185881137386476 185881141877144 0 -28.656128 -13.510335 -117.74728
185881147445330 185881150244228 0 -28.680887 -14.277001 -116.41802
185881157503038 185881161473240 0 -28.862751 -14.88717 -116.26447
185881167559549 185881170143970 0 -28.621311 -13.899851 -117.3294
