name=BMP380 Barometer vendor=Bosch current_time_ms=1562661887298
measured_at recorded_at accuracy value
185880574429393 185880591384589 3 1013.18774
185880614424809 185880647093345 3 1013.0598
185880654449601 185880660283346 3 1013.08
185880694423299 185880726293248 3 1013.05457
185880734426268 185880774631170 3 1013.06256
185880774425070 185880776376326 3 1013.02277
185880814450955 185880817838778 3 1013.04736
185880854451163 185880857254095 3 1013.06213
185880894459236 185880895999567 3 1012.9919
185880934455851 185880936585405 3 1012.98596
185880974476163 185881006405933 3 1012.98346
185881014455590 185881016278902 3 1013.02924
185881054426007 185881055781354 3 1013.05505
185881094425434 185881096369119 3 1013.11127
185881134430434 185881138378914 3 1013.0834
185881174428143 185881176571470 3 1013.1166
185881214426215 185881216872464 3 1013.0877
185881254456372 185881257018666 3 1013.003
185881294454809 185881297769972 3 1013.0542
185881334465486 185881337432424 3 1013.0721
185881374465955 185881376763209 3 1013.02826
185881414472205 185881416689359 3 1013.01495
185881454473820 185881456663113 3 1013.04565
185881494476372 185881497167648 3 1013.0091
185881534453507 185881536362652 3 1013.022
185881574423247 185881576225364 3 1013.05066
185881614423090 185881615747347 3 1013.00946
185881654426684 185881656125320 3 1012.9782
185881694449601 185881698038606 3 1013.0143
185881734452518 185881737049703 3 1013.0298
185881774454549 185881777306999 3 1013.03754
185881814454601 185881816467940 3 1013.03455
185881854449288 185881856279298 3 1013.0191
185881894422986 185881896353677 3 1013.02673
185881934429236 185881935722744 3 1013.0195
185881974426111 185881976972488 3 1013.04694
185882014427153 185882016551658 3 1013.01685
185882054427309 185882057233746 3 1013.0549
185882094426997 185882097003281 3 1013.0113
185882134426163 185882137062399 3 1012.9727
185882174452986 185882179979591 3 1013.01373
185882214423195 185882219208189 3 1013.04205
185882254425590 185882257676318 3 1013.04205
185882294425278 185882297094290 3 1013.07294
185882334473820 185882335882055 3 1013.042
185882374456320 185882375938569 3 1013.0292
185882414450903 185882416542844 3 1013.05493
185882454425278 185882475020766 3 1013.0392
185882494426997 185882496861498 3 1013.0339
185882534425278 185882536304887 3 1013.0643
185882574458455 185882579127912 3 1013.0289
185882614453768 185882625835781 3 1013.0059
185882654458976 185882655893441 3 1013.01654
185882694470382 185882696420684 3 1013.0234
185882734455330 185882735764074 3 1013.0723
185882774452726 185882775716265 3 1013.0646
185882814448559 185882817126634 3 1013.0339
185882854425018 185882855774450 3 1012.98987
185882894426007 185882895685079 3 1013.0537
185882934425747 185882936243729 3 1013.042
185882974423559 185882976568733 3 1012.99536
185883014452465 185883016857487 3 1012.9846
185883054450382 185883057331501 3 1013.0024
185883094455330 185883097351922 3 1012.9744
185883134449080 185883136337603 3 1013.02814
185883174455538 185883176268597 3 1013.0365
185883214450070 185883216494590 3 1013.01044
185883254450695 185883256725323 3 1013.01074
185883294447049 185883296769963 3 1013.0076
185883334423038 185883336408717 3 1013.1181
185883374426424 185883375979502 3 1013.04126
185883414424653 185883416284923 3 1013.049
185883454453247 185883456317166 3 1013.0588
185883494451893 185883497026806 3 1013.0228
185883534458976 185883537038737 3 1013.04083
185883574452726 185883576276866 3 1013.04877
185883614449549 185883615789161 3 1012.98956
185883654425486 185883656192447 3 1013.00397
185883694437413 185883696625419 3 1013.04553
185883734427726 185883736106361 3 1013.0874
185883774426840 185883776765063 3 1013.12885
185883814426684 185883816901525 3 1013.066
185883854449028 185883857075435 3 1013.01074
185883894430955 185883897181637 3 1013.0403
185883934425070 185883937985860 3 1013.0403
185883974424236 185883977648676 3 1013.0532
185884014425695 185884018124253 3 1013.0429
185884054459236 185884056022122 3 1013.01495
185884094452986 185884096090199 3 1012.9987
185884134458195 185884135993276 3 1013.0094
185884174454809 185884175890832 3 1013.02216
185884214422986 185884216846617 3 1013.0304
185884254426528 185884255943548 3 1013.0425
185884294425278 185884296285114 3 1013.0709
185884334447257 185884338300639 3 1013.0175
185884374459236 185884376226008 3 1013.0196
185884414458715 185884416169970 3 1013.058
185884454458924 185884455899453 3 1013.0375
185884494450434 185884495841124 3 1013.00397
185884534451215 185884536192638 3 1013.0348
185884574453768 185884575773580 3 1013.04504
185884614425174 185884616902594 3 1012.978
185884654426007 185884655783432 3 1013.02954
185884694427257 185884697633071 3 1013.0326
185884734425174 185884736914690 3 1013.0238
185884774451945 185884776809433 3 1013.0068
185884814452726 185884817503083 3 1013.0038
185884854452726 185884857603608 3 1012.9932
