name=BMI160 Accelerometer vendor=BOSCH current_time_ms=1561345925949
measured_at recorded_at accuracy value_x value_y value_z
181633320994655 181633402332901 0 0.16160813 9.605664 0.727617
181633331101322 181633402430557 0 0.07541351 9.82077 0.65199095
181633341207988 181633402520453 0 -0.08739628 9.768189 0.62835705
181633351314655 181633402581703 0 -0.20711006 9.72995 0.552731
181633361421322 181633402639776 0 -0.29809317 9.753851 0.44401878
181633371527988 181633402701390 0 -0.34119177 9.65825 0.36366612
181633381634655 181633402760088 0 -0.29330993 9.62479 0.31639937
181633391741322 181633402819828 0 -0.13529378 9.653472 0.26440609
181633401847988 181633477423377 0 -0.06346972 9.653473 0.2596785
181633411954655 181633477623585 0 -0.09220296 9.643913 0.3022167
181633422061322 181633477682231 0 -0.11614781 9.586553 0.3353017
181633432167988 181633477760773 0 -0.16403492 9.658256 0.36366016
181633442274655 181633477821346 0 -0.19276822 9.753859 0.46291715
181633452381322 181633477877179 0 -0.20234765 9.74908 0.56690073
181633462487988 181633477929366 0 -0.21192718 9.806442 0.53854036
181633472594655 181633477980304 0 -0.14967999 9.882925 0.5763519
181633482701322 181633505171036 0 -0.058702122 9.921166 0.5952572
181633492807988 181633505413744 0 0.013121937 9.902046 0.5716233
181633502918301 181633505804317 0 0.008330924 9.921167 0.5952552
181633513033665 181633516692652 0 -0.006036991 9.911609 0.59052765
181633523149030 181633529568642 0 -0.058712546 9.772986 0.5527141
181633533264342 181633577767658 0 -0.15448411 9.701285 0.41091594
181633543379707 181633578037762 0 -0.28377473 9.6965065 0.2832975
181633553495072 181633578097345 0 -0.31250802 9.706067 0.2691168
181633563610384 181633578147814 0 -0.28377998 9.78255 0.19349065
181633573725749 181633578543804 0 -0.26941726 9.849473 0.21239597
181633583841113 181633590574586 0 -0.2933621 9.916395 0.245481
181633593956426 181633644227195 0 -0.25505716 9.945076 0.33528483
181633604071790 181633644400841 0 -0.2646366 9.949858 0.44872156
181633614187155 181633644449539 0 -0.25506234 9.906837 0.45817372
181633624302467 181633644496206 0 -0.18802671 9.902059 0.44871956
181633634417832 181633644538810 0 -0.08747194 9.892499 0.45344514
181633644533197 181633655998811 0 0.037025053 9.9020605 0.48653015
181633654648509 181633656594332 0 0.104060695 9.9498625 0.5716075
181633664763874 181633666635896 0 0.123211876 10.035905 0.6330519
181633674879238 181633677077720 0 0.056171056 10.035906 0.62832433
181633684994551 181633687094231 0 -0.07311966 10.055028 0.5385185
181633695109915 181633697166732 0 -0.188045 9.964207 0.5574237
181633705225280 181633706978816 0 -0.25029743 9.849485 0.51015705
181633715340592 181633717388765 0 -0.27424222 9.816025 0.42980438
181633725455957 181633727415745 0 -0.20720658 9.849486 0.37781104
181633735571322 181633737864809 0 -0.12580562 9.882948 0.29745838
181633745686634 181633747518612 0 -0.06834688 9.8925085 0.2927308
181633755801999 181633758778665 0 -0.082714766 9.91641 0.29272982
181633765917363 181633770217052 0 -0.09708274 9.882951 0.2927288
181633776032676 181633783656064 0 -0.106662236 9.835151 0.368353
181633786148040 181633788259293 0 -0.058780402 9.8160305 0.40616456
181633796263405 181633798301794 0 -0.09230215 9.873393 0.47233558
181633806378717 181633808205493 0 -0.08272787 9.916415 0.5243268
181633816494082 181633818785390 0 -0.053999815 9.916416 0.533779
181633826609447 181633828990756 0 -0.058790825 9.921197 0.4912389
181633836724759 181633839601902 0 -0.14019704 9.911638 0.41088617
181633846840124 181633848986903 0 -0.20723791 9.854277 0.33053344
181633856955488 181633859063675 0 -0.24075966 9.806478 0.22182131
181633867070801 181633869177478 0 -0.19287783 9.825599 0.117835775
181633877186165 181633879353469 0 -0.11626529 9.806479 0.0942019
181633887301530 181633889568210 0 -0.03486427 9.768239 0.07056805
181633897416842 181633899588575 0 0.056113627 9.777801 0.122559324
181633907532207 181633909698993 0 -0.0013503506 9.868624 0.2974415
181633917647572 181633920136025 0 -0.049237456 9.854283 0.33997965
181633927762884 181633930086755 0 -0.08275921 9.859065 0.34943178
181633937878249 181633941362381 0 -0.14022313 9.792145 0.3447042
181633947993613 181633950554257 0 -0.207264 9.725224 0.28798437
181633958108926 181633960899258 0 -0.24078576 9.715664 0.2643505
181633968224290 181633971024676 0 -0.2120577 9.792147 0.22653697
181633978339655 181633981202073 0 -0.14981045 9.806488 0.18399681
181633988454967 181633992694470 0 -0.10192862 9.84951 0.16981615
181633998570332 181634001953689 0 -0.034892984 9.892531 0.19817457
181634008686530 181634012389680 0 0.0129888505 9.906873 0.22180642
181634018802780 181634022025723 0 -0.05884045 9.916434 0.24071173
181634028919082 181634032173067 0 -0.11151598 9.911655 0.15090585
181634039035332 181634042321871 0 -0.24080667 9.854294 0.24070975
181634049151582 181634052335465 0 -0.3030591 9.873416 0.26906815
181634059267832 181634062389633 0 -0.27433097 9.925999 0.20289518
181634069384082 181634072061249 0 -0.22644915 9.9499 0.2643396
181634079500384 181634082705052 0 -0.19293264 9.949901 0.27379176
181634089616634 181634092721719 0 -0.17378145 9.945121 0.3068768
181634099732884 181634102420418 0 -0.20730321 9.892541 0.33996177
181634109849134 181634112908701 0 -0.25997868 9.859081 0.29269508
181634119965384 181634123022556 0 -0.23603907 9.839961 0.2076158
181634130081634 181634133132400 0 -0.18815723 9.868644 0.10363023
181634140197936 181634142928808 0 -0.09717937 9.859084 0.07054323
181634150314186 181634153133965 0 -0.03014367 9.859085 0.089448504
181634160430436 181634163046049 0 -0.02535784 9.863867 0.032728683
181634170546686 181634173361311 0 -0.073244944 9.887768 0.14143884
181634180662936 181634183226468 0 -0.13070892 9.844748 0.22651613
181634190779238 181634197321834 0 -0.11634619 9.830407 0.20760885
181634200895488 181634203485689 0 -0.11634881 9.849529 0.2312407
181634211011738 181634213491836 0 -0.1402936 9.897331 0.2643257
181634221127988 181634224098503 0 -0.13550778 9.935573 0.25959814
181634231244238 181634233702046 0 -0.1642411 9.964254 0.23123772
181634241360540 181634243666318 0 -0.18818595 9.9594755 0.22178358
181634251476790 181634253957204 0 -0.20734234 9.916455 0.22650918
181634261593040 181634265202466 0 -0.21692187 9.859095 0.16033618
181634271709290 181634274070435 0 -0.19777068 9.825635 0.084710054
181634281825540 181634284669238 0 -0.13552344 9.806516 0.065802746
181634291941790 181634294056271 0 -0.0780647 9.801736 0.08470808
181634302058092 181634306646897 0 -0.044548195 9.849539 0.122519635
181634312174342 181634314228877 0 -0.03018549 9.758718 0.17923748
181634322290592 181634324644190 0 -0.044553377 9.720477 0.19341621
181634332406842 181634334087420 0 -0.08286358 9.7348175 0.11306354
181634342523092 181634348711172 0 -0.12596223 9.76828 0.108335964
181634352639394 181634354948100 0 -0.16427243 9.787401 0.103608385
181634362755644 181634364495548 0 -0.22652486 9.830423 0.09415424
181634372871894 181634374792841 0 -0.24089275 9.8973465 0.174505
181634382988144 181634385637113 0 -0.23131847 9.897347 0.21231654
181634393104394 181634395525291 0 -0.15470596 9.926029 0.20286243
181634403220697 181634406223990 0 -0.20738149 9.96427 0.207588
181634413336947 181634416391595 0 -0.24569169 9.873448 0.20286043
181634423453197 181634427431753 0 -0.26152822 9.682756 0.060503807
181634433569447 181634436080764 0 -0.108311825 9.615839 0.013232813
181634443685697 181634446559046 0 -0.2950751 9.41986 -0.057671018
181634453801947 181634456567016 0 0.15502498 9.548928 -0.05294975
181634463918249 181634466545767 0 -0.098776534 9.520252 -9.627328E-4
181634474034499 181634477534831 0 0.020920753 9.721021 0.10774317
181634484150749 181634486578425 0 -0.07486206 9.701907 0.183363
181634494266999 181634495982801 0 -0.4531632 9.725812 0.2873423
181634504382988 181634506668375 0 -0.32867748 10.089106 0.39604816
181634514498717 181634517301918 0 -0.76922846 9.917026 0.54256666
181634524614447 181634529260513 0 0.22196613 10.366362 0.6701788
181634534730228 181634537646816 0 -0.14675815 9.964836 0.75525177
181634544845957 181634547547390 0 0.85401326 10.423733 0.6607151
181634554961686 181634558389943 0 0.054328866 9.773642 0.5803581
181634565077415 181634567529215 0 0.6097748 10.103475 0.5567199
181634575193144 181634577674216 0 -0.13244835 9.635028 0.32511264
181634585308926 181634587864529 0 -0.003174131 9.9744215 0.21166965
181634595424655 181634597260728 0 -0.43893665 9.807122 0.102953255
181634605540384 181634608025937 0 -0.5251426 9.735424 0.06986196
181634615656113 181634617559480 0 -0.3048879 9.840592 -0.024674732
181634625771894 181634629181044 0 -0.56347793 9.649393 0.036765404
181634635887624 181634637731669 0 0.16914059 10.070047 0.10765872
181634646003353 181634648712556 0 -0.3719678 9.759345 0.23999745
181634656119082 181634657972713 0 0.5474001 10.20868 0.29671103
181634666234863 181634668710110 0 -0.13257322 9.663753 0.4432294
181634676350592 181634678223028 0 0.64314127 10.20869 0.4526773
181634686466322 181634688873497 0 -0.15175475 9.649422 0.44321886
181634696582051 181634698571728 0 0.3079222 10.003155 0.4195808
181634706697832 181634709186364 0 -0.19487855 9.816735 0.35813007
181634716813561 181634719391365 0 -0.17095017 9.945803 0.3344919
181634726929290 181634730282200 0 -0.19011785 9.878886 0.27304122
181634737045019 181634738838190 0 -0.4965923 9.673347 0.24467653
181634747160749 181634749756629 0 -0.03212687 9.869337 0.19267896
181634757276530 181634760281265 0 -0.55408144 9.534733 0.2068534
181634767392259 181634770064235 0 0.23121001 10.156152 0.21157469
181634777507988 181634779332986 0 -0.530167 9.682926 0.25883508
181634787623717 181634789991320 0 0.14499019 10.089241 0.3060956
181634797739499 181634800878092 0 -0.37696436 9.716396 0.33444968
181634807855228 181634810310437 0 -0.05615232 9.936286 0.3249913
181634817970957 181634819839500 0 -0.27643475 9.859809 0.4762363
181634828086686 181634831794710 0 -0.09448766 9.864594 0.4478716
181634838202467 181634840567888 0 -0.142386 9.745096 0.43841314
181634848318197 181634850856951 0 -0.11845765 9.850264 0.4242282
181634858433926 181634860364087 0 0.0012396036 9.917191 0.42894948
181634868549655 181634871263151 0 -0.013139571 9.945876 0.4573036
181634878665384 181634881064506 0 0.020365648 10.012802 0.4478452
181634888781165 181634891164559 0 -0.022744235 10.051047 0.43366024
181634898896894 181634900801956 0 -0.08979637 10.060614 0.4478346
181634909012624 181634911388468 0 -0.14248316 9.965015 0.41946995
181634919128353 181634921882792 0 -0.18559307 9.93156 0.41001153
181634929244134 181634932250761 0 -0.19997227 9.902884 0.43363914
181634939359863 181634940899148 0 -0.18083233 9.797726 0.4525401
181634949475592 181634951923107 0 -0.16169249 9.792951 0.4761677
181634959591322 181634961924150 0 -0.0898796 9.745154 0.47143587
181634969707103 181634972206859 0 -0.051585898 9.730819 0.49506342
181634979822832 181634981638839 0 -0.046811327 9.850327 0.46669874
181634989938561 181634993087278 0 -0.032459885 9.907693 0.49032632
181635000054238 181635002647331 0 -0.08035822 9.931598 0.5186805
181635010169759 181635012312592 0 -0.12825659 9.984184 0.5281283
181635020285280 181635021933947 0 -0.1522127 9.960289 0.5139433
181635030400749 181635032972178 0 -0.25278395 9.802549 0.5186646
181635040516269 181635042974731 0 -0.027740836 9.855135 0.54701877
181635050631738 181635053550513 0 -0.45871493 9.534873 0.47138834
181635060747259 181635062392076 0 0.03448127 9.826465 0.42884398
181635070862728 181635073276244 0 -0.36297375 9.496641 0.43829176
181635080978249 181635083489526 0 0.020088095 9.816914 0.45719278
181635091093769 181635093112913 0 -0.16667515 9.745217 0.37210926
181635101209238 181635103271455 0 -0.13316996 9.793023 0.4004634
181635111324759 181635113151977 0 -0.051780168 9.907751 0.42881757
181635121440228 181635123325676 0 -0.39656222 9.773913 0.44771853
181635131555749 181635133993073 0 0.09184546 10.060724 0.49025244
181635141671217 181635143906147 0 -0.5689741 9.573157 0.60841143
181635151786738 181635153829794 0 0.24983642 10.070294 0.63676554
181635161902259 181635163822659 0 -0.5546365 9.587507 0.6934792
181635172017728 181635174911358 0 0.24023181 10.060743 0.6982004
181635182133249 181635184961620 0 -0.49241444 9.601857 0.71710145
181635192248717 181635194185944 0 0.1827427 9.998611 0.72182274
181635202364238 181635204427090 0 -0.24823143 9.74049 0.70291114
181635212479707 181635214603342 0 0.010330805 9.960381 0.73126537
181635222595228 181635225243603 0 -0.06629821 9.907804 0.60836923
181635232710749 181635234855583 0 -0.3392535 9.936489 0.59891087
181635242826217 181635244668032 0 -0.013653034 10.032097 0.47601467
181635252941738 181635254940429 0 -0.5643382 9.597112 0.56581426
181635263057207 181635264981680 0 0.14912643 10.022546 0.56580895
181635273172728 181635275284702 0 -0.54521227 9.501518 0.57053024
181635283288197 181635285214963 0 0.32148275 9.965195 0.636697
181635293403717 181635295277829 0 -0.5021439 9.453727 0.67450434
181635303519238 181635305225746 0 0.18737847 9.965204 0.67449903
181635313634707 181635315764237 0 -0.4590757 9.458517 0.65558743
181635323750228 181635329109030 0 -0.0520716 9.6114855 0.6083165
181635333865697 181635335950802 0 -0.28671938 9.463306 0.53741264
181635343981217 181635345603198 0 -0.31546393 9.468091 0.5893996
181635354096686 181635356138043 0 -0.04732479 9.535018 0.5563083
181635364212207 181635366197627 0 -0.4304144 9.195635 0.5279436
181635374327728 181635376409660 0 0.12981994 9.444206 0.48067266
181635384443197 181635386019348 0 -0.5597302 9.080922 0.52793306
181635394558717 181635485792639 0 0.0052925614 9.453775 0.55156064
181635404674186 181635485824514 0 -0.23893201 9.296037 0.59409446
181635414789707 181635485832431 0 0.04836086 9.515926 0.6035424
181635424905176 181635485838994 0 -0.14319083 9.434669 0.6177168
181635435020697 181635485845139 0 -0.06180113 9.644999 0.7169696
181635445136217 181635485851181 0 -0.22941066 9.5255 0.74532366
181635455251686 181635485857223 0 -0.27252054 9.420342 0.77840436
181635465367207 181635485863681 0 -0.22943842 9.362987 0.8256649
181635475482207 181635485875764 0 -0.17199092 9.224368 0.87292534
181635485596894 181635490591077 0 -0.14806257 9.195692 0.9958109
181635495711634 181635506414464 0 -0.07624977 9.181357 1.0619776
181635505826322 181635507762642 0 0.0578129 9.190923 1.1139646
181635515941061 181635517803372 0 0.07695276 9.066645 1.2746627
181635526055749 181635529094414 0 0.096092746 8.932806 1.3880951
181635536170436 181635539085561 0 0.091290355 8.870669 1.4731683
181635546285176 181635548792385 0 0.06254583 8.837213 1.572421
181635556399863 181635558897803 0 0.014647494 8.798977 1.6338611
181635566514551 181635569048221 0 0.019422064 8.928044 1.6149495
181635576629290 181635579240774 0 -0.018899368 9.171835 1.6149442
181635586743978 181635589185879 0 -0.15298976 9.281783 1.6811109
