name=GpsLocations vendor=Google current_time_ms=1561445543545
isLocationAvailable size time latitude longitude speed bearingDegrees altitude accuracy verticalAccuracy
 null null 1561445543569 37.7582967 -122.3929527 0.0 0.0 -13.750579833984375 3.574 8.0
 true null 1561445543569 37.7582967 -122.3929527 0.0 0.0 -13.750579833984375 3.574 8.0
 true 1 1561445543646 37.7582174 -122.3930646 0.0 0.0 -9.399999618530273 15.489 4.6000004
 true 1 1561445546000 37.7582585 -122.3930127 0.0 0.0 -11.59271240234375 10.359 24.0
 true 1 1561445547000 37.7582729 -122.3929926 0.0 0.0 -13.038238525390625 8.746 24.0
 true 1 1561445548000 37.7582801 -122.3929856 0.0 0.0 -12.481475830078125 7.189 16.0
 true 1 1561445549000 37.7582846 -122.3929836 0.0 0.0 -12.475677490234375 6.094 16.0
 true 1 1561445550000 37.7582857 -122.3929823 0.0 0.0 -11.6490478515625 5.194 12.0
 true 1 1561445551000 37.7582855 -122.3929822 0.0 0.0 -11.085296630859375 4.744 12.0
 true 1 1561445552000 37.7582849 -122.3929819 0.0 0.0 -10.570709228515625 4.037 12.0
 true 1 1561445553000 37.7582839 -122.3929832 0.0 0.0 -9.629241943359375 3.45 8.0
 true 1 1561445554000 37.7582882 -122.3929804 0.0 0.0 -9.21002197265625 3.168 8.0
 true 1 1561445555000 37.7582874 -122.3929824 0.0 0.0 -8.9278564453125 3.0 8.0
 true 1 1561445556000 37.7582863 -122.3929831 0.0 0.0 -9.2900390625 3.0 8.0
 true 1 1561445557000 37.7582848 -122.392984 0.0 0.0 -9.2977294921875 3.0 8.0
 true 1 1561445558000 37.7582838 -122.3929845 0.0 0.0 -9.4168701171875 3.0 8.0
 true 1 1561445559000 37.7582824 -122.3929851 0.0 0.0 -9.3033447265625 3.0 8.0
 true 1 1561445560000 37.7582827 -122.3929855 0.0 0.0 -9.64703369140625 3.0 6.0
 true 1 1561445561000 37.7582831 -122.3929863 0.0 0.0 -9.10821533203125 3.0 6.0
 true 1 1561445562000 37.7582818 -122.3929864 0.0 0.0 -9.385467529296875 3.0 6.0
 true 1 1561445563000 37.7582806 -122.3929866 0.0 0.0 -9.4901123046875 3.0 6.0
