name=BMI160 Gyroscope vendor=BOSCH current_time_ms=1561446802408
measured_at recorded_at accuracy value_x value_y value_z
282509835771045 282509884151791 0 -0.3629824 0.3923599 -0.30669647
282509845877712 282509884228145 0 -0.39387503 0.4360357 -0.33013228
282509855984379 282509884291687 0 -0.5664478 0.62352204 -0.43133232
282509866091045 282509884353041 0 -0.79867524 0.78650737 -0.53359765
282509876197712 282509884414916 0 -1.0010753 0.8003558 -0.56875134
282509886304379 282509890295125 0 -1.1693869 0.68424207 -0.55277234
282509896411045 282509916350127 0 -1.3206544 0.4861031 -0.52401024
282509906517712 282509916407367 0 -1.408006 0.26559353 -0.4963134
282509916624379 282509919861690 0 -1.3696564 0.04295346 -0.44198495
282509926731045 282509930121900 0 -1.2173238 -0.17436029 -0.30989227
282509936837712 282509960499715 0 -1.0223806 -0.37356457 -0.10962274
282509946944379 282509960561746 0 -0.8455468 -0.4609162 0.07999417
282509957051045 282509960618153 0 -0.6878878 -0.39700037 0.22700053
282509967157712 282509984307426 0 -0.5440772 -0.20099188 0.35163638
282509977264379 282509984362582 0 -0.42370242 0.079172425 0.49012062
282509987371045 282510058071912 0 -0.29480553 0.2932904 0.64138806
282509997477712 282510058120298 0 -0.13182022 0.38596833 0.7617628
282510007586462 282510058163319 0 0.057796683 0.41792622 0.8118302
282510017700420 282510058204517 0 0.26552308 0.32311776 0.78093755
282510027814379 282510058248996 0 0.49242422 0.119652435 0.66801965
282510037928337 282510058294360 0 0.68310636 -0.06889921 0.47520694
282510055656306 282510064401340 0 0.643159 -0.3794235 -0.09204589
282510065770264 282510070255664 0 0.5265126 -0.41990352 -0.22041014
282510075884222 282510082852332 0 0.32677573 -0.42895827 -0.33758914
282510085998181 282510103262386 0 0.10253775 -0.39646775 -0.38499337
282510096112139 282510103310563 0 -0.09719916 -0.35172665 -0.36848179
282510106226097 282510110712803 0 -0.23941183 -0.28514773 -0.3168165
282510116340108 282510148980515 0 -0.31983924 -0.19886136 -0.25130278
282510126454066 282510149012182 0 -0.32729608 -0.18661082 -0.18046276
282510136568025 282510149047026 0 -0.2740329 -0.23241717 -0.11548169
282510146681983 282510151880255 0 -0.15738654 -0.34640038 -0.07020798
282510156795941 282510166364788 0 -7.9280883E-4 -0.4795583 -0.04623956
282510166909900 282510172582080 0 0.15047461 -0.5717036 -0.03718482
282510177023858 282510186634529 0 0.27138203 -0.5892805 -0.045706928
282510187137868 282510191755311 0 0.35607046 -0.5338868 -0.07979536
282510197251827 282510203308229 0 0.4103989 -0.44546986 -0.13252589
282510207365785 282510212454897 0 0.4418242 -0.3554551 -0.18259329
282510217479743 282510222384741 0 0.45460737 -0.27023402 -0.21614909
282510227593702 282510235884326 0 0.4418242 -0.20205715 -0.23266068
282510237707660 282510242470889 0 0.3997463 -0.13973923 -0.23585647
282510247821670 282510253073807 0 0.33849362 -0.06463815 -0.22413856
282510257935629 282510263508391 0 0.2575336 -0.019364454 -0.19271329
282510268049587 282510272378757 0 0.1989441 -0.061442364 -0.14477643
282510278163545 282510286360633 0 0.16006199 -0.1642403 -0.10216589
282510288277504 282510293237613 0 0.13556093 -0.23827611 -0.07020798
282510298391462 282510304284489 0 0.11532092 -0.24892873 -0.048902716
282510308505420 282510312814386 0 0.08868933 -0.19673082 -0.046239555
282510318619431 282510323567512 0 0.06365564 -0.097661324 -0.05316377
282510328733389 282510336189961 0 0.052470367 -0.0039181337 -0.067544825
282510338847347 282510343703764 0 0.06099248 0.06319347 -0.07766484
282510348961306 282510354767202 0 0.08069986 0.09035769 -0.08139326
282510359075264 282510363924599 0 0.10307039 0.09941243 -0.07127325
