name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1561446802416
measured_at recorded_at accuracy value_x value_y value_z
282509784268389 282509809208138 0 -71.52593 -85.41092 -135.71121
282509794319379 282509809638190 0 -71.67802 -85.83251 -136.01334
282509804368389 282509809713086 0 -71.554855 -85.62531 -136.03142
282509814416879 282509881995332 0 -71.461845 -85.59637 -135.28346
282509824462712 282509882241426 0 -71.779495 -85.180084 -134.53122
282509834512556 282509882312832 0 -71.87321 -85.18838 -134.65846
282509844559847 282509882376374 0 -71.33956 -85.36336 -134.52563
282509854607347 282509882435853 0 -71.09379 -84.933464 -134.09625
282509864652243 282509882497259 0 -70.94084 -84.5377 -134.57004
282509874699327 282509882566530 0 -69.97229 -84.317856 -135.3052
282509884746202 282509889937000 0 -69.69014 -84.32396 -135.85457
282509894793910 282509915789711 0 -69.81295 -84.54148 -136.14687
282509904842712 282509915960179 0 -69.502045 -84.32804 -136.22084
282509914891722 282509916548461 0 -69.043755 -83.12523 -137.1766
282509924936722 282509929743879 0 -69.22389 -83.78704 -138.57487
282509934984483 282509960136486 0 -69.50622 -83.775764 -137.8703
282509945033025 282509960193882 0 -69.77053 -82.36809 -137.81674
282509955082035 282509960241694 0 -69.8625 -82.428024 -139.49579
282509965126202 282509982724353 0 -69.58728 -81.79923 -139.21175
282509975172504 282509983447009 0 -69.970055 -81.16651 -137.95616
282509985221410 282509987068989 0 -70.15764 -81.17793 -138.05547
282509995268858 282510058541860 0 -69.976814 -80.53678 -137.27792
282510005314066 282510058592485 0 -69.91238 -80.73256 -137.16054
282510015358181 282510058639204 0 -69.75269 -80.96652 -138.31258
282510025403337 282510058730871 0 -70.222244 -80.97699 -138.01767
282510035452139 282510058772069 0 -70.439606 -81.17699 -137.66125
282510045497191 282510058810298 0 -70.3802 -80.79467 -138.41743
282510055543806 282510058926340 0 -70.80716 -81.855385 -139.31398
282510065592816 282510068562643 0 -70.737015 -82.6499 -138.94377
282510075637920 282510081330561 0 -70.74428 -82.00468 -137.79997
282510085682712 282510107222594 0 -70.955765 -82.808586 -137.34593
282510095729170 282510107325303 0 -71.07942 -83.00029 -136.86229
282510105773702 282510110888376 0 -70.710846 -82.35289 -136.14064
282510115820525 282510148162286 0 -70.27644 -81.94256 -136.54309
282510125868545 282510148207755 0 -70.36929 -81.97667 -137.44623
282510135917556 282510148243536 0 -70.581116 -82.770256 -136.68181
282510145966879 282510148275411 0 -70.80506 -82.34569 -135.80234
282510156018597 282510166068121 0 -70.840225 -81.94584 -135.90985
282510166068441 282510168125517 0 -71.05638 -82.18198 -136.63972
282510176117868 282510178371299 0 -71.403145 -81.97492 -136.05254
282510186166306 282510191055780 0 -72.14654 -82.655495 -137.28313
282510196213910 282510202972656 0 -72.42696 -82.70103 -138.28557
282510206260108 282510208305417 0 -71.80602 -82.248314 -137.65762
282510216305941 282510219674637 0 -71.92969 -82.44001 -137.17398
282510226351254 282510228817971 0 -72.39232 -83.08538 -137.71251
282510236397504 282510238210368 0 -72.51478 -83.31323 -138.31516
282510246444743 282510252800526 0 -72.36184 -82.917465 -138.78891
282510256491618 282510258374693 0 -72.32736 -83.296646 -138.06065
282510266537816 282510270715632 0 -72.19417 -84.245636 -136.33163
282510276585420 282510278334903 0 -71.882576 -84.05285 -137.02634
282510286631254 282510288474956 0 -72.07622 -83.455185 -137.0681
282510296677400 282510302616781 0 -72.42262 -83.25847 -136.79129
282510306723337 282510308548604 0 -72.609856 -83.28021 -137.20091
282510316767816 282510319304543 0 -72.580414 -83.08131 -137.34624
282510326814952 282510328487981 0 -72.57401 -83.700714 -137.71414
282510336861202 282510338675899 0 -72.57418 -83.69555 -137.55896
282510346907452 282510352703504 0 -72.356636 -83.50072 -138.07053
282510356953754 282510358648713 0 -72.29255 -83.686165 -137.64279
282510367002504 282510370037829 0 -72.352135 -84.06332 -136.7314
282510377052712 282510378697830 0 -72.50992 -83.88616 -137.28638
282510387100837 282510389009237 0 -72.169914 -83.46348 -137.19533
282510397148650 282510399775905 0 -71.94735 -83.84675 -136.83333
282510407194847 282510409057937 0 -72.53988 -84.06957 -136.6755
282510417240264 282510436129658 0 -72.75119 -84.87865 -136.37665
282510427287556 282510436146742 0 -72.627174 -84.697266 -137.17064
282510437334795 282510439411742 0 -72.322685 -83.86442 -136.87675
282510447382087 282510449176691 0 -72.26518 -83.42529 -135.92592
282510457427035 282510459470807 0 -72.446175 -84.06128 -136.54828
282510467473650 282510469574818 0 -72.50403 -84.490074 -137.18874
282510477521462 282510479492996 0 -72.50992 -83.88616 -137.28638
282510487570108 282510489548570 0 -72.352135 -84.06332 -136.7314
282510497616827 282510500124404 0 -72.28752 -84.26426 -136.76921
282510507663077 282510510808364 0 -72.51027 -83.87583 -136.97603
282510517709900 282510520625813 0 -72.51044 -83.870674 -136.82086
282510527758129 282510529789616 0 -72.43909 -84.70134 -137.53688
282510537805108 282510539878887 0 -72.3045 -85.69165 -137.04932
282510547853389 282510550393368 0 -72.40513 -85.06503 -136.34312
282510557899900 282510560756494 0 -72.5397 -84.07474 -136.83072
282510567947035 282510569935140 0 -72.627174 -84.697266 -137.17064
282510577994066 282510579657173 0 -72.720535 -84.71589 -137.60826
282510588040733 282510589766445 0 -72.692474 -84.47568 -136.5121
282510598086358 282510600842904 0 -72.504715 -84.46942 -136.568
282510608131097 282510609970249 0 -72.3161 -84.48898 -137.3998
282510618178493 282510620025562 0 -72.09353 -84.87225 -137.03783
282510628225941 282510629895459 0 -72.46904 -84.88476 -136.92604
282510638272920 282510640029054 0 -72.83952 -85.47536 -135.94067
282510648317608 282510650522024 0 -72.774055 -85.70212 -136.75438
282510658363025 282510660134733 0 -72.491554 -85.71855 -137.61412
282510668409170 282510670143223 0 -72.42764 -85.89884 -137.03123
282510678455160 282510680087287 0 -72.4687 -84.89508 -137.23639
282510688499535 282510690178382 0 -72.53936 -84.08506 -137.14107
282510698545160 282510701027497 0 -72.38071 -84.28804 -137.362
282510708592556 282510710224894 0 -72.06392 -84.678505 -137.33832
282510718639014 282510720471562 0 -72.28112 -84.88366 -137.13712
282510728683806 282510730369011 0 -72.43353 -85.29492 -137.12889
282510738729327 282510740441095 0 -72.280945 -84.888824 -137.29228
282510748773650 282510751134429 0 -72.25185 -84.67959 -137.12726
282510758821670 282510760571305 0 -72.43995 -84.67552 -136.76097
282510768870993 282510770645942 0 -72.56361 -84.867226 -136.27737
282510778919275 282510781634380 0 -72.62198 -85.280525 -136.45226
282510788965941 282510790631256 0 -72.34017 -85.276306 -136.69127
282510799013806 282510801105789 0 -72.15831 -84.666145 -136.84482
282510809062243 282510810769592 0 -72.4105 -84.47662 -136.90633
282510819110212 282510820854801 0 -72.40478 -85.07536 -136.65347
282510829157295 282510830796625 0 -72.21616 -85.09493 -137.48526
282510839205368 282510840926730 0 -71.84655 -84.478516 -137.6947
282510849255316 282510851502148 0 -71.90595 -84.86083 -136.9385
282510859308077 282510861023919 0 -72.00052 -84.8433 -136.28987
282510869356931 282510870973295 0 -72.00052 -84.8433 -136.28987
282510879403493 282510881202151 0 -72.333595 -85.90088 -137.21436
282510889450681 282510892512048 0 -72.49172 -85.71339 -137.45895
282510899502243 282510901473663 0 -72.31039 -85.08772 -137.14697
282510909550004 282510911148247 0 -72.65731 -84.87552 -136.4046
282510919598077 282510921697780 0 -72.6289 -84.64563 -135.61884
282510929647452 282510931486843 0 -72.40478 -85.07536 -136.65347
282510939695525 282510941324917 0 -72.6218 -85.28569 -136.60744
282510949745629 282510952053147 0 -72.375854 -84.86097 -136.33325
282510959794170 282510961571013 0 -72.433876 -85.2846 -136.8185
282510969842452 282510971542680 0 -72.49172 -85.71339 -137.45895
282510979888650 282510981569504 0 -72.33862 -85.322784 -138.0879
282510989936254 282510991585078 0 -72.2806 -84.899155 -137.60263
282510999985889 282511002211798 0 -72.33966 -85.291794 -137.15683
282511010033077 282511011724351 0 -72.5572 -85.48663 -136.64523
282511020078597 282511021801904 0 -72.217026 -85.069115 -136.70937
282511030125629 282511031864353 0 -72.3691 -85.49071 -137.01152
282511040172139 282511042032740 0 -72.5281 -85.2774 -136.48021
282511050219691 282511052422532 0 -72.065125 -84.64236 -136.25206
282511060267608 282511062099252 0 -72.00035 -84.848465 -136.44504
282511070312139 282511072303680 0 -71.993935 -85.46787 -136.81291
282511080357243 282511082658942 0 -72.02303 -85.6771 -136.97795
282511090404483 282511092630349 0 -72.18152 -85.479294 -136.9122
282511100453441 282511103088423 0 -72.05786 -85.28758 -137.39584
282511110503285 282511112724517 0 -72.09284 -84.89291 -137.65852
282511120551670 282511122764727 0 -71.899895 -85.46991 -136.99603
282511130598962 282511133119780 0 -72.087814 -85.471 -136.78497
282511140645889 282511143057906 0 -72.02945 -85.05769 -136.61008
282511150692712 282511155046761 0 -71.65394 -85.04518 -136.72186
282511160738181 282511163138689 0 -71.55938 -85.062706 -137.37054
282511170787347 282511173487701 0 -71.50118 -84.64425 -137.04044
282511180835264 282511183955775 0 -71.71334 -85.427505 -135.96567
282511190882660 282511193564526 0 -71.39638 -85.823135 -136.09717
282511200929847 282511203580829 0 -70.990395 -85.6427 -137.28535
282511210979900 282511213614840 0 -70.86101 -86.04974 -137.51617
282511221028493 282511225491352 0 -70.33378 -85.605316 -137.01546
282511231078702 282511233534530 0 -70.49849 -84.79326 -136.737
282511241126097 282511243956718 0 -70.809395 -85.00671 -136.66302
282511251173025 282511255088438 0 -70.702705 -86.24239 -137.42671
282511261220837 282511264624533 0 -70.29169 -86.64006 -137.74138
282511271268025 282511274115992 0 -70.2056 -85.97621 -136.15997
282511281315212 282511284142451 0 -70.30622 -85.34962 -135.45378
282511291364379 282511293771202 0 -69.86663 -85.522545 -135.13782
282511301412243 282511304864276 0 -69.70278 -86.308784 -134.64035
282511311458806 282511313451152 0 -69.7369 -85.939926 -135.67899
282511321508650 282511323495788 0 -69.02071 -85.52538 -136.3204
282511331556150 282511333530633 0 -69.26735 -85.92944 -135.97388
282511341601879 282511343428603 0 -69.61341 -85.74306 -136.00742
282511351647868 282511354249125 0 -69.236694 -85.76669 -137.20549
282511361692556 282511363611626 0 -68.79693 -85.9448 -137.0447
282511371738389 282511373630846 0 -68.610214 -85.907555 -136.16951
282511381784952 282511383489024 0 -68.733025 -86.125084 -136.46176
282511391832191 282511393785327 0 -68.63308 -86.73103 -136.54724
282511401877556 282511403621942 0 -68.41622 -86.51554 -136.4381
282511411925889 282511414041631 0 -68.070335 -86.696785 -136.24939
282511421974900 282511423915538 0 -67.63058 -86.87488 -136.0886
282511432021879 282511433924810 0 -67.79426 -86.09381 -136.74123
282511442067816 282511444048092 0 -67.671616 -85.871124 -136.2938
282511452114847 282511454876427 0 -67.26044 -86.27396 -136.7636
282511462163337 282511464021896 0 -67.2251 -86.67896 -136.81125
282511472207920 282511474804085 0 -66.6925 -86.822945 -135.74736
282511482256722 282511483920023 0 -66.382454 -86.58369 -135.04543
282511492306670 282511494343826 0 -66.376045 -87.203094 -135.4133
282511502355472 282511504318098 0 -66.05856 -87.614204 -136.01036
282511512404379 282511515058672 0 -65.24849 -87.19655 -136.67973
282511522455420 282511524829819 0 -65.214195 -87.57057 -135.79631
282511532504379 282511534297476 0 -65.055534 -87.77355 -136.01724
282511542552139 282511544605915 0 -64.65024 -87.572464 -136.58472
282511552600472 282511556835708 0 -64.58598 -87.76307 -136.31215
282511562647347 282511564811698 0 -63.9356 -87.11146 -135.82954
282511572693389 282511574583261 0 -63.560783 -87.07829 -135.3206
282511582740629 282511584550814 0 -63.647556 -87.72147 -136.28127
282511592788910 282511594703472 0 -63.27223 -87.703804 -136.23787
282511602837868 282511604770035 0 -62.77426 -87.46344 -135.74701
282511612885056 282511614793474 0 -62.71503 -87.075966 -136.34802
282511622931306 282511624903110 0 -62.023075 -87.44359 -136.12575
282511632976827 282511634655403 0 -61.459305 -87.44032 -136.75899
282511643022087 282511644847070 0 -61.51819 -87.83813 -136.46832
282511653067191 282511656733895 0 -61.360394 -88.01529 -135.91338
282511663114170 282511664869520 0 -60.4632 -86.96477 -135.93243
282511673161410 282511675339209 0 -59.870323 -86.752266 -136.40063
282511683211097 282511685025252 0 -59.64758 -87.140686 -136.19382
