name=LIS2MDL Magnetometer vendor=STMicro current_time_ms=1561445543536
measured_at recorded_at accuracy value_x value_y value_z
281250908241438 0 0 -64.75992 -77.754745 -120.85202
281250918287896 0 0 -64.90392 -77.92382 -121.10916
281250928333417 0 0 -65.05372 -78.09866 -121.38108
281250938377011 0 0 -65.20364 -78.2664 -121.65864
281250948419823 0 0 -65.3481 -78.42587 -121.90914
281250958463833 0 0 -65.48329 -78.59031 -122.16352
281250968509615 0 0 -65.61839 -78.7434 -122.411316
281250978556438 0 0 -65.76153 -78.8896 -122.64747
281250988603000 0 0 -65.89989 -79.033005 -122.885666
281250998649250 0 0 -66.036644 -79.18152 -123.113235
281251008692792 0 0 -66.17309 -79.331375 -123.34204
281251018737636 0 0 -66.30256 -79.46199 -123.57228
281251028780448 0 0 -66.430115 -79.58171 -123.79378
281251038824354 0 0 -66.5677 -79.69642 -124.037895
281251048869146 0 0 -66.69701 -79.7963 -124.27454
281251058914042 0 0 -66.821144 -79.90153 -124.48613
281251068959615 0 0 -66.945145 -80.02105 -124.694275
281251079002636 0 0 -67.06487 -80.12543 -124.885124
281251089047583 0 0 -67.18164 -80.22332 -125.06262
281251099091333 0 0 -67.29665 -80.322815 -125.221146
281251109136854 0 0 -67.41067 -80.4165 -125.38199
281251119182011 0 0 -67.52367 -80.50498 -125.56066
281251129227219 0 0 -67.636856 -80.59606 -125.741615
281251139273261 0 0 -67.7578 -80.689835 -125.91946
281251149320604 0 0 -67.878914 -80.77397 -126.101585
281251159366542 0 0 -67.991455 -80.83988 -126.28036
281251169412948 0 0 -68.10422 -80.90853 -126.452065
281251179459927 0 0 -68.214005 -80.98405 -126.62441
281251189504667 0 0 -68.32154 -81.05865 -126.81196
281251199550448 0 0 -68.428215 -81.12804 -127.00435
281251209599667 0 0 -68.52912 -81.184 -127.20226
281251219649302 0 0 -68.63236 -81.243164 -127.39841
281251229694146 0 0 -68.74091 -81.31319 -127.57695
281251239739563 0 0 -68.847404 -81.369774 -127.757
281251249786021 0 0 -68.95423 -81.42981 -127.945564
281251259831958 0 0 -69.06022 -81.484184 -128.1171
281251269876229 0 0 -69.16156 -81.53392 -128.30421
281251279919198 0 0 -69.250145 -81.58596 -128.47865
