name=BMP380 Barometer vendor=Bosch current_time_ms=1561445543540
measured_at recorded_at accuracy value
281250907046073 281250940774971 3 1007.2931
281250947045604 281250966987734 3 1007.30457
281250987024198 281250991052684 3 1007.30457
281251027315604 281251040023314 3 1007.19543
281251067025448 281251068282483 3 1007.1608
281251107024406 281251109222956 3 1007.2206
281251147023677 281251148201502 3 1007.16364
281251187027375 281251188013797 3 1007.1127
281251227017844 281251227956666 3 1007.0805
281251267003729 281251268070628 3 1007.0956
281251307008313 281251308446153 3 1007.1207
281251347030708 281251348597251 3 1007.11566
281251387032011 281251388006526 3 1007.1075
281251427034823 281251428130384 3 1007.14325
281251467036177 281251468985075 3 1007.11505
281251507025188 281251508261642 3 1007.12244
281251547034354 281251548330812 3 1007.1041
281251587041854 281251588302431 3 1007.1449
281251627033833 281251628319258 3 1007.1048
281251667001646 281251668539106 3 1007.14026
281251707003990 281251708719526 3 1007.1425
281251747003729 281251748255520 3 1007.1602
281251787032011 281251788821149 3 1007.12396
281251827027011 281251828890997 3 1007.122
281251867032271 281251868297563 3 1007.15704
281251907032531 281251908264286 3 1007.1545
281251947030188 281251948313456 3 1007.1266
281251987035136 281251988295127 3 1007.157
281252027036177 281252028303985 3 1007.1315
281252067032271 281252068424562 3 1007.14636
281252107011490 281252108494879 3 1007.1514
281252147004458 281252148463789 3 1007.14355
281252187002636 281252188589574 3 1007.1105
281252227031229 281252229419370 3 1007.1057
281252267035604 281252269299999 3 1007.0978
281252307037219 281252308498076 3 1007.1259
281252347004667 281252348484017 3 1007.1103
281252387024979 281252389180584 3 1007.1105
281252427023677 281252428631577 3 1007.1637
281252467023677 281252468453560 3 1007.123
281252506999875 281252508362731 3 1007.1558
281252547005083 281252548860495 3 1007.15594
281252587004250 281252588946124 3 1007.13556
281252627001802 281252630224253 3 1007.13776
281252667004771 281252668833632 3 1007.15576
281252707002063 281252709265251 3 1007.1656
281252747001906 281252748508224 3 1007.1355
281252787002167 281252790366092 3 1007.1583
281252827007427 281252831738649 3 1007.1327
281252867034563 281252868371048 3 1007.1327
281252907032271 281252908333500 3 1007.12714
281252947025552 281252948908296 3 1007.1323
281252987004094 281252988253143 3 1007.16284
281253027004146 281253028480283 3 1007.1627
281253067001386 281253068950235 3 1007.12756
281253107028365 281253109030395 3 1007.1445
281253147036438 281253148920086 3 1007.1676
281253187031802 281253188423424 3 1007.1579
281253227004563 281253228254938 3 1007.1449
281253267033313 281253268179630 3 1007.1374
281253307035396 281253308310884 3 1007.1602
281253347034823 281253348546929 3 1007.1297
281253387036177 281253388592610 3 1007.1447
281253427050500 281253428371208 3 1007.14197
281253467003729 281253468306368 3 1007.1423
281253507000083 281253508509289 3 1007.1547
281253547034823 281253549693824 3 1007.1341
281253587042688 281253589036797 3 1007.12396
281253627039250 281253628517530 3 1007.13916
281253667040344 281253668296909 3 1007.1217
281253707037688 281253708732434 3 1007.1135
281253747039771 281253749442230 3 1007.1259
281253787033261 281253788725567 3 1007.14886
281253827002219 281253828667810 3 1007.1567
281253867004250 281253868285002 3 1007.16473
281253907003365 281253910236516 3 1007.13153
281253947003469 281253951180635 3 1007.1437
281253987022896 281253989340535 3 1007.1442
281254027024979 281254028511320 3 1007.1386
281254067022896 281254068849188 3 1007.14124
281254107025240 281254108610807 3 1007.15137
281254147022636 281254148717165 3 1007.159
281254187022115 281254189509461 3 1007.1616
281254227026021 281254228469673 3 1007.1591
281254267022375 281254268482646 3 1007.13873
281254307003469 281254308594837 3 1007.1437
281254347003104 281254348622081 3 1007.17395
281254387004094 281254389408647 3 1007.1258
281254427023208 281254428683808 3 1007.1432
281254467023208 281254469075635 3 1007.133
281254507021386 281254508837618 3 1007.17346
281254547023938 281254548628715 3 1007.1765
281254587026594 281254589043615 3 1007.1712
281254627028208 281254628734869 3 1007.179
281254667002167 281254668677425 3 1007.13605
281254707005031 281254708655711 3 1007.1961
